name,memberCity,memberCounry,MemberGender,memberAge,CitiesVisited,memberDescription,Activitiy,Type,ownerdesc,rating,review
name,memberCity,memberCounry,MemberGender,memberAge,CitiesVisited,memberDescription,Activitiy,Type,ownerdesc,rating,review
SuesMail,Lethbridge,Canada,,,"Kelowna, British Columbia, Canada,Calgary, Alberta, Canada,",[],"River Valley Adventure, Calgary",,"Join us for a glide down the pathways of beautiful Lindsay Park on a guided Segway tour. After a lesson from one of the top trainers in the country, you will have all the skills you need on your ride. Our guides will are able to give information about the history of the park and Calgary as well as ensure that you tour is safe, fun and memorable. One hour and ninety minute adventures are available.",5 of 5 stars,"
Was on our bucket list and it didn't disappoint. Very fun and the guide was very good with lots of fun facts about Calgary and an outgoing personality! Beautiful area of Calgary that he takes you through. Would definitely do it again! The first time you go you must have the 1/2 lesson so we bumped up our hour with...


More 


"
gdkmartin,Saskatoon,Saskatoon,,,"Calgary, Alberta, Canada,Playa del Carmen, Mexico,Anaheim, CA, USA,Chase, British Columbia, Canada,Dayton, OH, USA,Edmonton, Alberta, Canada,Honolulu, HI, USA,Long Beach, CA, USA,Orlando, FL, USA,Ottawa, Ontario, Canada,Saskatoon, Saskatchewan, Canada,Toronto, Ontario, Canada,",[],"River Valley Adventure, Calgary",,"Join us for a glide down the pathways of beautiful Lindsay Park on a guided Segway tour. After a lesson from one of the top trainers in the country, you will have all the skills you need on your ride. Our guides will are able to give information about the history of the park and Calgary as well as ensure that you tour is safe, fun and memorable. One hour and ninety minute adventures are available.",5 of 5 stars,"
This was our first ever Segway ride. We happened to be travelling through Calgary and my brother in-law said you should go check it out (they have been on them a couple of times) before we headed home. My wife really wanted to go and was kind of sure what ever. After we were given our safety instruction and a...


More 


"
252kathyP,Calgary,Canada,,,"Calgary, Alberta, Canada,Elkwater, Alberta, Canada,Kamloops, British Columbia, Canada,",[],"River Valley Adventure, Calgary",,"Join us for a glide down the pathways of beautiful Lindsay Park on a guided Segway tour. After a lesson from one of the top trainers in the country, you will have all the skills you need on your ride. Our guides will are able to give information about the history of the park and Calgary as well as ensure that you tour is safe, fun and memorable. One hour and ninety minute adventures are available.",5 of 5 stars,"
What an incredible experience! Our tour guide and coach Pete was amazing! Not only did he teach us how to ride the segway, but he also was quite the historian on Lincoln Park in Calgary. We had a lot of fun, extended our tour and would most definitely do this again!
"
meeg1,Inverell,Australia,,,"Sydney, Australia,Dublin, Ireland,Banff, Alberta, Canada,Inverell, Australia,Rome, Italy,Vancouver, British Columbia, Canada,Broome, Australia,Ieper (Ypres), Belgium,Melbourne, Australia,Calgary, Alberta, Canada,Las Vegas, NV, USA,Paris, France,",[],"River Valley Adventure, Calgary",,"Join us for a glide down the pathways of beautiful Lindsay Park on a guided Segway tour. After a lesson from one of the top trainers in the country, you will have all the skills you need on your ride. Our guides will are able to give information about the history of the park and Calgary as well as ensure that you tour is safe, fun and memorable. One hour and ninety minute adventures are available.",5 of 5 stars,"
This was a lot of fun and a great way to experience Calgary from a different angle. The tour took us around the river and park area. Pete was very relaxed, patient and calm when teaching us to ride the segways and while guiding us through the park. We took the extra 1/2 hr so that we could see more...


More 


"
iSysruns,Calgary,Canada,,,"Varadero, Cuba,Calgary, Alberta, Canada,Canmore, Alberta, Canada,San Jose del Cabo, Mexico,",[],"Sante Spa at Hotel Le Germain, Calgary"," Spas
","Sant Spa at Hotel Le Germain Calgary is the ultimate urban sanctuary, a perfect balance to the adrenaline-fuelled pace of modern life.Carefully designed to embrace the senses with soothing introspective contemplation, the use of monochromatic tones and modern functional design create a warm and inviting atmosphere providing the ideal environment to explore the restorative powers of spa. We welcome you to discover our menu of rejuvenating spa treatments, or choose from three one-of-a-kind wellness routes that we have developed specifically to meet the therapeutic needs of Hotel Le Germain guests and Calgarians living and working in the downtown core.",5 of 5 stars,"
I booked a Facial with Sante Spa at the St. Germain location as I am a spa lover and wanted to check out Santes new location. ~ not to mention my face has been sooo dry and in serious need of help as I was looking dull and aging. When I arrived I had the pleasure of just relaxing in...


More 


"
Simplyexpensive,Ponoka,Canada, female , 35-49 ,"New Orleans, LA, USA,Calgary, Alberta, Canada,Oberwesel, Germany,Amsterdam, The Netherlands,Anaheim, CA, USA,Canmore, Alberta, Canada,Edmonton, Alberta, Canada,Luling, LA, USA,Red Deer, Alberta, Canada,Bischofswiesen, Germany,Liverpool, Nova Scotia, Canada,New York City, NY, USA,","[u'I love to travel but occassionaly get very homesick. I like to see new places and try new things. I normally travel with my husband and young daugthers (which makes things VERY interesting), but sometimes we will leave the little one at home. ']","Sante Spa at Hotel Le Germain, Calgary"," Spas
","Sant Spa at Hotel Le Germain Calgary is the ultimate urban sanctuary, a perfect balance to the adrenaline-fuelled pace of modern life.Carefully designed to embrace the senses with soothing introspective contemplation, the use of monochromatic tones and modern functional design create a warm and inviting atmosphere providing the ideal environment to explore the restorative powers of spa. We welcome you to discover our menu of rejuvenating spa treatments, or choose from three one-of-a-kind wellness routes that we have developed specifically to meet the therapeutic needs of Hotel Le Germain guests and Calgarians living and working in the downtown core.",5 of 5 stars,"
we got in on relatively short notice. located in the top floor of the hotel. there is no receptionist by a small waiting room where you are welcome to enjoy snacks, water and tea. small, quaint and quiet.
"
JSCalgary,,,,,"Calgary, Alberta, Canada,",[],"Sante Spa at Hotel Le Germain, Calgary"," Spas
","Sant Spa at Hotel Le Germain Calgary is the ultimate urban sanctuary, a perfect balance to the adrenaline-fuelled pace of modern life.Carefully designed to embrace the senses with soothing introspective contemplation, the use of monochromatic tones and modern functional design create a warm and inviting atmosphere providing the ideal environment to explore the restorative powers of spa. We welcome you to discover our menu of rejuvenating spa treatments, or choose from three one-of-a-kind wellness routes that we have developed specifically to meet the therapeutic needs of Hotel Le Germain guests and Calgarians living and working in the downtown core.",5 of 5 stars,"
I went for a pedicure. She did a great job on my toes, but I found it a little overpriced compared to other spas, considering they don't have a reception or locker room. I'm not sure if the fitness facilities are open to spa guests yet but there is apparently a steam room and locker room there. They also don't...


More 


"
GetAboutGal,Delta,BC, female , 50-64 ,"Golden, British Columbia, Canada,Calgary, Alberta, Canada,Whistler, British Columbia, Canada,Langford, British Columbia, Canada,West Kelowna, British Columbia, Canada,Burnaby, British Columbia, Canada,Kelowna, British Columbia, Canada,Richland, WA, USA,Banff, Alberta, Canada,Britannia Beach, British Columbia, Canada,Kamloops, British Columbia, Canada,Las Vegas, NV, USA,",[],"Sante Spa at Hotel Le Germain, Calgary"," Spas
","Sant Spa at Hotel Le Germain Calgary is the ultimate urban sanctuary, a perfect balance to the adrenaline-fuelled pace of modern life.Carefully designed to embrace the senses with soothing introspective contemplation, the use of monochromatic tones and modern functional design create a warm and inviting atmosphere providing the ideal environment to explore the restorative powers of spa. We welcome you to discover our menu of rejuvenating spa treatments, or choose from three one-of-a-kind wellness routes that we have developed specifically to meet the therapeutic needs of Hotel Le Germain guests and Calgarians living and working in the downtown core.",5 of 5 stars,"
Top floor location shared with hotel health club. New ""concierge-less"" concept was unusual and interesting. I was alone in a lobby/lounge that is tranquil in neutral colours with comfortable seating, water and nibbles. No retail product in sight. Limited menu of services, but facial was just what I needed in a warm, nurturing atmosphere and delivered with care and professionalism....


More 


"
flowerdrumsong,Calgary,Alberta, female , 35-49 ,"Calgary, Alberta, Canada,London, UK,Macau, China,Boracay, Philippines,Lapu Lapu, Philippines,Palm Desert, CA, USA,Panglao Island, Philippines,Anaheim, CA, USA,Edinburgh, UK,Las Vegas, NV, USA,Los Angeles, CA, USA,Columbia Falls, MT, USA,",[u'A happily married lady who loves life and lives with a mission to share and help build better lives. I live in the Great White North with my husband (and hopefully kids in the future!) :) '],"Sante Spa at Hotel Le Germain, Calgary"," Spas
","Sant Spa at Hotel Le Germain Calgary is the ultimate urban sanctuary, a perfect balance to the adrenaline-fuelled pace of modern life.Carefully designed to embrace the senses with soothing introspective contemplation, the use of monochromatic tones and modern functional design create a warm and inviting atmosphere providing the ideal environment to explore the restorative powers of spa. We welcome you to discover our menu of rejuvenating spa treatments, or choose from three one-of-a-kind wellness routes that we have developed specifically to meet the therapeutic needs of Hotel Le Germain guests and Calgarians living and working in the downtown core.",5 of 5 stars,"
Sante Spa is at the 12/F of the Hotel Le Germain in downtown Calgary and actually has one of the best services we had so far. The place is minimalist and not the usual run of the mill type where you get to be 'oversold' by the sales people with their products. The couples area is more than adequate -...


More 


"
