name,memberCity,memberCounry,MemberGender,memberAge,CitiesVisited,memberDescription,Activitiy,Type,ownerdesc,rating,review
AKlingman,Norristown,Pennsylvania,,,"New York City, NY, USA,Stratford, Ontario, Canada,",[],"Bright Spa Salon, New York City",,"Bright Skin Care Salon and Day Spa, in Midtown West, offers an extensive array of treatments, including facials for all skin conditions, massage, bodywork, shellac nails, manicures and pedicures, waxing, microdermabrasion, makeup, eyebrow shaping, and more. After consulting with one of Bright Skin Care Salon expert estheticians, feel your mind, skin, body, and soul renew with a spa experience.Bright European Skin Care Salon offer 30% OFF in all Services and Treatments, like Facial Treatments for all skin condition, Massage Therapies,Body Work Services, Shellac Nails, Manicure and Pedicure, Waxing Hair Removal,Brazilian Waxing, Electrolysis,Microdermabrasion Treatments, Acne Treatments, exfoliation treatments and masque, anti-aging treatments, anti-acne treatments, redness treatments,rosacea treatments, Make-up and beautiful Eyebrow shaping, classic Swedish body work, deep tissue body work, Hot stone body work, body scrub,body wraps with hidrating etc.Get your Skin in the hands of a professional skin therapistExperience the full power of Dermalogica Formula Products and Formula ProactivWe are Authorized Dermalogica retail products",5 of 5 stars,"
The Concierge at the Hampton Inn recommended this salon when I expressed a desire to have a facial. I'm a senior who has been getting facials about every 6 weeks since age 35 and living in sundamage California. More recently, Vera at Lavenders on the Philadelphia Main Line does my facials. I was nervous about going to someone I didn't...


More 


"
CharlesKaplan,Rockville Centre,New York,,,"New York City, NY, USA,Forest Hills, NY, USA,London, UK,Orlando, FL, USA,Paris, France,Rockville Centre, NY, USA,",[],"Hampton Luxury Liner Day Tours, New York City"," Bus Tours
",,,"
We were told to be at the Marriott for pickup at 9:15 am for a 9:45 am pickup. Bus didn't arrive until 10:30 am. Calls to the company only provided misinformation. The vineyards are all noisy, over-crowded tourist traps with more places to spend money than to enjoy a glass of wine. Essentially you are paying for a ride to...


More 


"
Tassie_Steve,Hobart,Hobart, male , 50-64 ,"Las Vegas, NV, USA,Bangkok, Thailand,Honolulu, HI, USA,Hobart, Australia,New York City, NY, USA,Hua Hin, Thailand,Orlando, FL, USA,Ubud, Indonesia,Singapore, Singapore,Genting Highlands, Malaysia,Kuala Lumpur, Malaysia,Melbourne, Australia,","[u""I travel predominantly for food and wine as well as to meet people who will cause me to question constantly what I do with my own life.\nI am fairly hooked on Asia, and have hardly been outside of it, travel-wise, for the last 15 years (except one lengthy trip to the USA). The only countries left to do are Myanmar, South Korea, Taiwan and Mongolia.\nBring 'em on. ""]","Let's Cruise-Day Tours, New York City"," Boat Tours
",,,"
Let's Cruise was a Groupon for about $10 a head on a Thursday night departing from New York Skyport Marina on East 23rd Street and promising to ""include 22.5 hours on the water"".
The instruction was to arrive at 7:00pm for a 7:30pm departure. We arrived about 6:45pm and there was already around 30 or so people lined up... probably...


More 


"
emilyduong,New York City,New York,,,"New York City, NY, USA,",[],"Urban Manta Scuba Lessons, New York City",,,5 of 5 stars,"
Recently completed my Nitrox certification with Sandra. She was very thorough and quizzed me along the way. It really helps with my confidence in diving.
In July, Sandra took me to Dutch Springs, and did not discourage me when I wanted to do both my dry suit and rescue dive certifications together. It was challenging! But Sandra made it fun....


More 


"
SOLTEROSDEVIAJE,MADRID,MADRID,,,"New York City, NY, USA,Jersey City, NJ, USA,Rome, Italy,Valencia, Spain,Agadir, Morocco,Alcala De Henares, Spain,Alicante, Spain,Almendralejo, Spain,Almeria, Spain,Almunecar, Spain,Amsterdam, The Netherlands,Andorra la Vella, Andorra,",[],"Empire Tours, New York City"," Tours
",,5 of 5 stars,
SmileyRiles,,,,,"Saint-Martin-de-Belleville, France,Blackpool, UK,New York City, NY, USA,",[],"GO New York Tours, New York City"," Bus Tours
",Go New York Tours We are New York City's latest and greatest answer to your New York attractions in sightseeing needs. Our goal is to offer every tourist and visitors the most convenient and exciting ways to see the best parts of our great city.,5 of 5 stars,"
We bought the 3 day pass for thought it was excellent value for money at $44! The star of the show was Debbi Kopi on the mid-town tour who was one if the highlights of the whole trip for me. Debbi is a native New Yorker and her knowledge and passion for the city was a joy to behold. She...


More 


"
ripple22,london,england,,,"London, UK,New York City, NY, USA,Uxbridge, UK,Hastings, UK,Hayes, UK,Ruislip, UK,East Rutherford, NJ, USA,Eilat, Israel,Old Windsor, UK,Wembley, UK,Windsor, UK,Alanya, Turkey,",[],"GO New York Tours, New York City"," Bus Tours
",Go New York Tours We are New York City's latest and greatest answer to your New York attractions in sightseeing needs. Our goal is to offer every tourist and visitors the most convenient and exciting ways to see the best parts of our great city.,5 of 5 stars,"
3 of us went on the tour that involved Downtown/Uptown/Night/Museum and a Cruise out to the Statue of Liberty and Ellis island & Governors island. It was not just informative, but humorous and fun. 3 different guides along the way each having their on way of imparting info and facts. The harbour cruise is the highlight in our opinion, there...


More 


"
Billyjoe0820,,,,,"New York City, NY, USA,",[],"Kensington Stables in Brooklyn, New York City"," Horseback Riding Stables
",,,"
Do not go to this place. The horses completely out-of-control my horse got so out of control I was just thrown off onto the ground!! Older gentleman that was leading had to call stable and scream for them to send help.. My six-year-old daughter was nervous for my family of four we had to turn back around. I myself walk...


More 


"
BartGirl,Toronto,Canada,,,"New York City, NY, USA,",[],"Central Park Tours-Day Tours, New York City",,,,"
I booked a walking tour Movie Highlights on-line, and regretted I did. What a total ripoff! I have never written a review before, but felt I should warn others. The website looks very legitimate CentralPark.com. $50.00 for 2.5 hour tour. The tour guide, not sure his name, he said he was Turkish, arrived a few minutes late, said he skateboarded...


More 


"
627Anonymous,New York City,New York,,,"New York City, NY, USA,",[],"Noshwalks, New York City"," Tours
","Noshwalks offer 3-hour ethnic food tours of neighborhoods throughout New York City's 5 boroughs, combining history, local culture and and architecture with a lively culinary experience. with over 25 years leading gourmet bicycle tours as well as walking tours, founder Myra Alperson guides people to neighborhoods far from common tourist sites to get a far broader grasp - and taste - of the New York City foodscape. Three kosher tours are included in a selection of over 3 dozen tours.",,"
You hear all over NYC how great Astoria food is, so we thought this would be an interesting tour to try. I would not recommend anyone follow our lead.
The tour started underneath the subway, so the introduction & description of the tour were impossible to hear. The tour guide didn't know who was supposed to be on the tour,...


More 


"
