name,memberCity,memberCounry,MemberGender,memberAge,CitiesVisited,memberDescription,Activitiy,Type,ownerdesc,rating,review
travele34515,Orlando,Florida,,,"Orlando, FL, USA,Leesburg, FL, USA,Ocala, FL, USA,The Villages, FL, USA,Altamonte Springs, FL, USA,Apopka, FL, USA,San Francisco, CA, USA,Winter Garden, FL, USA,Acapulco, Mexico,Agios Georgios, Greece,Agios Gordios, Greece,Aix-les-Bains, France,",[],"Left Coast Tours, San Francisco",,,5 of 5 stars,"
My tour guide Steve knew so much about San Fran!! It was great having him to guide me around. A perfect day.
"
jfnytravels,New York City,New York, female , 25-34 ,"London, UK,Marrakech, Morocco,Gulf of Papagayo,Cruz Bay, U.S. Virgin Islands,Istanbul, Turkey,Napa, CA, USA,San Francisco, CA, USA,Yountville, CA, USA,St. Thomas, U.S. Virgin Islands,Buenos Aires, Argentina,Rutherford, CA, USA,St. John, U.S. Virgin Islands,",[],"Suchada Traditional Thai massage, San Francisco"," Spas
","After a full day of touring San Francisco, a relaxing therapeutic massage in an ambiance of Thai antiques and a lotus pond is a unique experience. Very easy on the wallet also.",5 of 5 stars,"
Authentic traditional Thai massages given by professionals. Decor transforms you to Thailand. Definitely a must try!
"
Loztastic,Presron,England,Male ,,"New York City, NY, USA,San Francisco, CA, USA,London, UK,Manchester, UK,Edinburgh, UK,Preston, UK,Whitby, UK,Durham, UK,Hazlewood, UK,Lancaster, UK,Paris, France,Ravenglass, UK,",[],"Haunted Haight Walking Tour, San Francisco",,,5 of 5 stars,"
A great little tour. It is a bit of a shame that the Haight is a bit on the shady side, and more than a bit dubious, because this is a great tour! Takes in local history, buildings, macabre stories and some ghosts. One of the latter stops is very spooky, and the ghost hunting equipment can bring in some...


More 


"
LanceinNW,Seattle,WA, male , 50-64 ,"Seattle, WA, USA,Bothell, WA, USA,San Francisco, CA, USA,Cozumel, Mexico,New Orleans, LA, USA,Paris, France,Cabo San Lucas, Mexico,Las Vegas, NV, USA,New York City, NY, USA,Cannon Beach, OR, USA,Tarrytown, NY, USA,Rome, Italy,",[],"Angel Island Company Segway Tour, San Francisco",,,5 of 5 stars,"
This review is overdue, but I had to relay how wonderful our experience was, seeing Angel Island by Segway. The other reviews are pretty thorough on how the process works; the training, what you'll see, etc., so I won't repeat that information.
What I do want to tell fellow members is how amazing the experience is! Firstly, our tour guide...


More 


"
chromosomeh69,Los Angeles,California,,,"San Francisco, CA, USA,Avalon, CA, USA,Yosemite National Park, CA, USA,Pasadena, CA, USA,Los Angeles, CA, USA,Virgin Islands National Park, U.S. Virgin Islands,West Hollywood, CA, USA,",[],"San Francisco Sailing Company, San Francisco"," Boat Tours
","We are the best attraction in SF that you must experience. We offer daily 90 minute tours of the SF Bay or multi-hour private charters. Celebrate a special occasion or go sailing for fun. We sail all around the bay: Alcatraz Island, The Golden Gate Bride, Angel Island, Bay Bridge, Ball Park, Sausalito, Tiburon, City Front & More.",5 of 5 stars,"
Went on the 2 hr Sunset sail from Pier 39, and had a blast. The captain and his first mate, were very accommodating & pleasant. Weather was perfect, we sailed out towards the Golden Gate Bridge and passed both the front and back of Alcatraz, all the while enjoying beautiful views of the city and a lovely sunset. The boat...


More 


"
Lyon45,Temecula,California, male , 50-64 ,"Cambria, CA, USA,Solvang, CA, USA,San Francisco, CA, USA,Monterey, CA, USA,Ogden, UT, USA,San Antonio, TX, USA,Lordsburg, NM, USA,Los Angeles, CA, USA,Morro Bay, CA, USA,Santa Maria, CA, USA,Valencia, Spain,",[],"San Francisco Sailing Company, San Francisco"," Boat Tours
","We are the best attraction in SF that you must experience. We offer daily 90 minute tours of the SF Bay or multi-hour private charters. Celebrate a special occasion or go sailing for fun. We sail all around the bay: Alcatraz Island, The Golden Gate Bride, Angel Island, Bay Bridge, Ball Park, Sausalito, Tiburon, City Front & More.",5 of 5 stars,"
We booked a sail to see the America's Cup race, unfortunately Artemis was still finishing their second boat, so Luna Rosa had to race solo. We still had a great time on the water, getting close as possible to the course and Luna Rosa. After the race we sailed by Alcatraz and returned to ppier 39, 90 minutes altogether for...


More 


"
ricky2246,Glen Mills,Pennsylvania,,,"Philadelphia, PA, USA,Media, PA, USA,Glen Mills, PA, USA,Wilmington, DE, USA,West Chester, PA, USA,New Orleans, LA, USA,Washington DC, DC, USA,Aston, PA, USA,Chadds Ford, PA, USA,Provincetown, MA, USA,Bodega Bay, CA, USA,Concordville, PA, USA,",[],"Kabuki Springs and Spa, San Francisco"," Spas
",,5 of 5 stars,"
If a visit to Japan is not in your future, try the Kubuki Springs and Spa in Japantown, San Francisco. I could repeat all the positive aspects sited by the other reviewers because they were certainly true. Once past the busy front desk, the street sounds and city impressions melted in the dark communal bath. While I soaked during ladies...


More 


"
MTLtravelerRD,Sacramento,California, female , 35-49 ,"Boston, MA, USA,Sacramento, CA, USA,San Francisco, CA, USA,Savannah, GA, USA,Roseville, CA, USA,Anaheim, CA, USA,Barcelona, Spain,Monterey, CA, USA,Florence, Italy,Salem, MA, USA,Wailea, HI, USA,Rome, Italy,",[],"Ride the Duck, San Francisco"," Bus Tours, Boat Tours
",,,"
Search online for discounted tickets before you go. We had fun on this trip, but don't expect a real ""tour"" of the SF area. It's more of a party trip with fun music and cheesy jokes. You ride around on the vehicle smiling and waving to other tourists on the streets, showing them you are having more fun than they...


More 


"
Lilyyichoy,,,,,"San Francisco, CA, USA,",[],"City Clues Adventures, San Francisco"," Tours
",City Clues Adventures offers 3 exciting treasure hunts/tours for visitors to San Francisco: City Clues and Treasures is perfect for groups of all types. City Clues Family Adventure is a treasure hunt designed for families with children. City Clues and Eats has you hunting for unique and delicious San Francisco foods.,5 of 5 stars,"
One of my girl friends got engaged and placed myself and another friend in charge of her bachelorette party. I wanted something fun for the out of town folks, but nothing too expensive. I came across City Clues Adventures on google and decided to give it a shot. I got in touch with Beth and Linda and found them to...


More 


"
tinahtfeng,San Jose,California,,,"Dublin, Ireland,Franz Josef, New Zealand,San Francisco, CA, USA,Westport, New Zealand,",[],"Hiking Yoga, San Francisco"," Tours
",,5 of 5 stars,"
I've done Hiking Yoga in SF twice (courtesy of Groupon) and both times, the reactions of people I've told about it is, ""Hiking yoga?! What the heck is that?"" It may sound like a kitschy concept, but it works, especially in San Francisco.
You meet your guide in front of the Ferry Building, and they take you on an 1.5...


More 


"
