name,memberCity,memberCounry,MemberGender,memberAge,CitiesVisited,memberDescription,Activitiy,Type,ownerdesc,rating,review
catlady0204,Chicago,Illinois,,,"Chicago, IL, USA,",[],"Kiva, Chicago"," Walking, Biking
",,,"
The only reason I go is because my stylist does the best color work. I used to go to the Pearson salon and all of a sudden the management up an moved everyone into the Water Tower Kiva salon inside Macy's on the 4th floor. What a dump!. The prices are the same as the Pearson salon but the hair...


More 


"
fall07,chicago,Illinois,,,"Chicago, IL, USA,",[],"Diana's Nail and Spa, Chicago"," Spas
","Diana's Nail and Spa is located in the Loop, Diana's Nail Spa is considered the most progressive Chicago Nail Spa in downtown for men and women. Focusing on Full Nails, Facial, and Waxing services. Diana's Nail Spa believes in absolute hygiene using only the finest glass pedicure bowls, fresh, sterilized manicure tools with each guest. Diana's Nail Spa also carter to large parties including bridal parties, bachelorette parties or just a fun, girl's night out.",5 of 5 stars,"
We took our kids and their friends for a birthday spa party on Saturday at Diana's Nail & Spa. It was a great one! Everyone has a pedi & mani combo. They loved their color & designs on their little toes.
"
Jim_F_Chicago,Chicago,IL USA,,,"Orlando, FL, USA,Schaumburg, IL, USA,Washington DC, DC, USA,Paris, France,Healdsburg, CA, USA,Las Vegas, NV, USA,Dublin, Ireland,San Francisco, CA, USA,Athens, Greece,Barrington, IL, USA,Beijing, China,Killarney, Ireland,",[],"Signature Segway, Chicago",,,,"
Everyone in my group was a little apprehensive about trying this but were are glad they did. The tour guide/segway instructor was good at getting us going on the segway and an enthusiastic and knowledgeable tour guide. The only person who fell off was a person who had experience riding a segway and that was a very minor mishap that...


More 


"
Traveler2009,Amsterdam,The Netherlands, male , 35-49 ,"Chicago, IL, USA,Toronto, Ontario, Canada,Shanghai, China,Singapore, Singapore,Barcelona, Spain,Beirut, Lebanon,Damascus, Syria,Melaka, Malaysia,Krakow, Poland,Rome, Italy,Aguas Calientes, Peru,Aleppo, Syria,","[u'50 countries and counting...\nI love to travel; the thrill of planning a new trip, the promised freedom embedded in airports the world over, the surprises at destination and most of all meeting and talking to new people.\nI travel quite a bit, for business and personal. Both adventure style and business/ comfy hotels ']","Chicago Midway Aviators, Chicago",,,,"
I love Chicago and I thought seeing it from the air would be a great way of getting another perspective, so I bought the tour sometime during the summer as a promotion on Groupon. It took me a long time to actually book the flight and when I decided to fly, it was relatively difficult to get a reservation, as...


More 


"
USA-smw,,,,,"Chicago, IL, USA,Nashville, TN, USA,Salt Lake City, UT, USA,Breckenridge, CO, USA,Hermitage, TN, USA,Punta Cana, Dominican Republic,Sedona, AZ, USA,",[],"Healing Hands Clinic, Chicago",,,,"
""Foot reflexology"" with Steve, a self-described business partner of the owner (the owner described Steve as service hired on for relief as needed), was unprofessional at the least and horribly invasive, disrespectful, and uneducated at most.
The advertised service described foot reflexology as soft, balanced pressure on the feet. Steve described it as very hard pressure on the arms and...


More 


"
Sharonov,Chicago,Illinoi, female , 65+ ,"Chicago, IL, USA,Berlin, Germany,Kruger National Park, South Africa,Key West, FL, USA,Richmond, CA, USA,Chartres, France,Madrid, Spain,Niagara Falls, Ontario, Canada,Krakow, Poland,Springfield, IL, USA,Berkeley, CA, USA,El Cerrito, CA, USA,","[u""I've been a travel junkie ever since I was old enough to get in a car and go. I hitch-hiked around Europe with a girlfriend for almost 2 years in the middle 60's, and, now that I'm retired, take off whenever the opportunity presents itself. When I was working, my company put us up in 5 star hotels. But I prefer cheaper places with more character most of the time--besides, the less money spent on accomodation, the more I can save for my next trip! I like good food, interesting sights and love to mingle with the natives as much as possible. What's changed over the years is that I don't stay out late at night anymore! ""]","Aniko Salon & Spa, Chicago",,,,"
My son gave me a 90 minute massage for my birthday! Yay! Too bad I got Darren as my masseur. The ambience at this spa is very nice, but my massage was mediocre at best. It was OK--not superb but just OK--until the last 20 or so minutes, when he decided to just sit here holding my head. I thought...


More 


"
watchbuyer,Windham,New Hampshire, male , 35-49 ,"Cape Breton Island, Nova Scotia, Canada,Chicago, IL, USA,Everglades City, FL, USA,Jackson, NH, USA,Salem, NH, USA,Cheraw, SC, USA,Colorado Springs, CO, USA,Manchester, NH, USA,Manitou Springs, CO, USA,Virginia Beach, VA, USA,Acadia National Park, ME, USA,Allegany, NY, USA,",[],"Chicago Water Sport Rentals, Chicago",,"Chicago Water Sport Rentals located at 31st Street Harbor rents premium Yamaha and Sea Doo Spark jet skis, Hobie Mirage Drive Kayaks, Bic Ace Tec series paddleboards, FlyBoards and offers banana boat rides. Open May 1st - October 31st, reservations recommended.",5 of 5 stars,"
My wife and I had a Groupon for a one half hour jet ski rental. It was foggy and overcast when we arrived so the staff told us to enjoy a complimentary kayak rental and wait an hour to see if the skies would clear. The kayak rental was great, they had high-end top-of-the-line equipment. After an hour the skies...


More 


"
TrudyNevland,,,,,"Chicago, IL, USA,",[],"Second City Pizza Tours, Chicago",,,,"
The worst tour guide ever. Sorry... she looked homeless and talked to herself... I hate to be mean, but we did pay for a tour. Akso, We ate pizza standing outside in the cold. I feel sorry for those in the group on their first food tour. Please try taste buds or the other one that does the near north...


More 


"
JakeAnderson,Traverse City,Michigan,,,"Traverse City, MI, USA,Chicago, IL, USA,Interlochen, MI, USA,Georgetown, KY, USA,Glen Arbor, MI, USA,Honor, MI, USA,Williamsburg, MI, USA,Albuquerque, NM, USA,Alexandria, VA, USA,Alpena, MI, USA,Anacapri, Italy,Anaheim, CA, USA,",[],"Two Brothers Sailing Adventures Day Tours, Chicago",,The 2012 boating season has begun and the Sea Gypsy is docked at her summer homeMontrose Harbor! Celebrate the love for the water and experience the best views of Chicago. We are accepting reservations now.,5 of 5 stars,"
My family and I had a wonderful time with Jeff and the Sea Gypsy. Jeff was a great Captain. My kids loved driving the boat. It was so nice to not hear a motor running. The view of the skyline was awesome! Do not get to see the beauty of the city from that angle very often.
Thanks Jeff. We'll...


More 


"
SvetaNYC,New York City,New York, female , 25-34 ,"Jaipur, India,Mumbai (Bombay), India,Chittaurgarh, India,Jodhpur, India,Udaipur, India,Chicago, IL, USA,Bangkok, Thailand,Agra, India,Aurangabad, India,Copenhagen, Denmark,Huntington Beach, CA, USA,Las Vegas, NV, USA,","[u'www.svetanyc.com\nWell..... Sex - Female. Born in winter. Current Residency - New York City, USA. Education - MBA from University of Oxford. Status - Single forever.\n']","Stil Salon and Spa, Chicago",,,,"
I came to Stil twice while visiting Chicago and my first experience was fantastic, my technician was attentive, careful and very thorough, she did a very good job that is why i scheduled another appointment. Second time, with a Latvian lady, i believe her name was Irina, was awful. Nail polish on my hands pilled off on the same evening,...


More 


"
