name,memberCity,memberCounry,MemberGender,memberAge,CitiesVisited,memberDescription,Activitiy,Type,ownerdesc,rating,review
ariel066,Toronto,Canada,,,"Toronto, Ontario, Canada,Richmond Hill, Ontario, Canada,",[],"Vikaspa, Toronto"," Spas
",,,"
I would like to share my experience as a vendor. we never received our payment for the deal that ran back in March od 2014. Today is Sept.30th od 2014. Horrible, unprofessional customer service. Accounting department takes zero responsibility, gives fake promises and makes up stories. 45minute waiting time to speak with the management. DO NOT USE BUYTOPIA!
"
MMA_Dad,Toronto,Canada,,,"Key West, FL, USA,Cozumel, Mexico,Rochester, NY, USA,Toronto, Ontario, Canada,Cooperstown, NY, USA,Niagara Falls, NY, USA,Burlington, Ontario, Canada,Huntsville, Ontario, Canada,Cancun, Mexico,Depew, NY, USA,Hamilton, Ontario, Canada,Oakville, Ontario, Canada,",[],"Jubilee Queen Cruise Lines, Toronto",,,,"
I attended a wedding on the Jubilee Queen. The ship itself is a tad tired looking, but passable. The tables are similar to those found in a fast food restaurant. The crew certainly is a colorful bunch. More tattoos and piercings than biker convention. After the wedding ceremony the tables were not set up, we scrambled to help the bride...


More 


"
EUCANADIANS,Toronto,Canada, , 35-49 ,"Blue Mountains, Ontario, Canada,Galway, Ireland,Bruges, Belgium,London, UK,Toronto, Ontario, Canada,Chicago, IL, USA,Amsterdam, The Netherlands,Punta Cana, Dominican Republic,Lahinch, Ireland,Doolin, Ireland,Jasper, Alberta, Canada,Maynooth, Ireland,",[],"SUPGirlz Toronto, Toronto",,"Welcome to the world of SUP, paddle boarding, and SUPsurfing! We teach first time lesson on the boards, and a collection of other classes that include yoga, pilates, mediation, hula hooping, surfing, and organize fun group events all around having fun onthe water with Stand Up Paddleboards in the beaches of Toronto. We have classes everyday from June 15- Sep 9 each year. Join us! Its super easy and fun and you will love it!",5 of 5 stars,"
1st class is informative and gets you up and paddling. Good workout and friendly.
Nice to get out under your own power.
Even 4-5 yoga poses tried too
"
Dusty290,Halifax,United Kingdom, male , 35-49 ,"Playa del Ingles, Spain,Belfast, UK,Halifax, UK,Blackpool, UK,Toronto, Ontario, Canada,Amsterdam, The Netherlands,Brighouse, UK,Hebden Bridge, UK,Huddersfield, UK,London, UK,Reykjavik, Iceland,Thirsk, UK,",[],"Senses Spa, Toronto"," Spas
",,,"
Just left this place after waiting for 25 mins for my 11.30 appointment to start. Walked in at 11.15 and was told there was an appointment available at 11.30 to have a manicure. At 11.40 the receptionist told me that the lady doing my nails was doing a back massage and the receipiant of the massage had requested to have...


More 


"
Jessmess71,Toronto,Canada, female , 25-34 ,"Lisbon, Portugal,Toronto, Ontario, Canada,Fort Myers Beach, FL, USA,Almancil, Portugal,London, UK,Cayo Coco, Cuba,Cheltenham, UK,Chilham, UK,Faro, Portugal,New York City, NY, USA,Quarteira, Portugal,Staple, UK,",[],"The Men's PowerSpa, Toronto",,"Established in 2005, The Men's PowerSpa is dedicated to helping men discover the power of looking and feeling their best, through advanced skin and body care services.Our skilled estheticians and Registered Massage Therapists provide personal care services for face, body, hands and feet in a comfortable, masculine environment.",,"
I bought a gift certificate for my husband for a large amount of money. Could NOT get through to this place online or by phone to make an appointment with them despite trying on numerous occaisions. Will be using my gift certificate somewhere with better customer service
"
2-4-T,Ontario,Canada, Female ,,"Niagara-on-the-Lake, Ontario, Canada,Toronto, Ontario, Canada,Ottawa, Ontario, Canada,Istanbul, Turkey,Tena, Ecuador,Cuenca, Ecuador,Rome, Italy,Haliburton, Ontario, Canada,Bodrum City, Turkey,Florence, Italy,Niagara Falls, Ontario, Canada,Selcuk, Turkey,","[u""Travel passionately and often - and be responsible to both our beautiful planet and the people whose lives and backyards you enter.\n.............................................................................................\nThere are treasures to be discovered - whether it's around the corner or around the world ""]","Dove Spa, Toronto",,,5 of 5 stars,"
A hidden uptown gem. The Dove Spa is just south of Yonge @ St Clair and is unassuming from the outside but is surprisingly calm, spacious and gracious on the inside. White is everywhere - modern zen. When you check in, you are taken to the change room with personal lockers, comfortable spa robe and disposable slippers, you take your...


More 


"
Spring2011_11,Pickering,Canada,,,"Toronto, Ontario, Canada,",[],"Dove Spa, Toronto",,,5 of 5 stars,"
Beautiful experience, wonderful staff and serene relaxed environment.
I recommend this Spa to everyone.
Well done !
"
comberman123,Toronto,Canada,,,"London, UK,Rome, Italy,New York City, NY, USA,Whitby, Ontario, Canada,Sydney, Australia,Florence, Italy,San Francisco, CA, USA,Chicago, IL, USA,Singapore, Singapore,Hong Kong, China,Toronto, Ontario, Canada,Auckland, New Zealand,",[],"The Men's PowerSpa, Toronto",,"Established in 2005, The Men's PowerSpa is dedicated to helping men discover the power of looking and feeling their best, through advanced skin and body care services.Our skilled estheticians and Registered Massage Therapists provide personal care services for face, body, hands and feet in a comfortable, masculine environment.",,"
Automated system answers your call and puts you to voice mail right away. No one ever returns the call. Is this place still open?
"
mozillatraveler,Toronto,Canada, male , 35-49 ,"Toronto, Ontario, Canada,Richmond Hill, Ontario, Canada,Niagara Falls, Ontario, Canada,Palm - Eagle Beach, Aruba,Varadero, Cuba,Grand Bend, Ontario, Canada,London, Ontario, Canada,Markham, Ontario, Canada,Minett, Ontario, Canada,Montego Bay, Jamaica,Runaway Bay, Jamaica,Vaughan, Ontario, Canada,",[],"Senses Spa, Toronto"," Spas
",,5 of 5 stars,"
Pro:
-RMTs were great! Has a wonderful and relaxing massage
-Owner and workers were all great and very friendly
-Price
Con:
-First of all, the location is not in the Sheraton Hotel, but the Sheraton Centre which is part of the PATH in the underground maze of Toronto.
-Second, this was not truly a spa environment. It was in a...


More 


"
cober6711,Toronto,Canada, male , 25-34 ,"Toronto, Ontario, Canada,Montreal, Quebec, Canada,Niagara Falls, Ontario, Canada,Mississauga, Ontario, Canada,New York City, NY, USA,Paris, France,Savannah, GA, USA,Chicago, IL, USA,Amsterdam, The Netherlands,Brussels, Belgium,Hamilton, Ontario, Canada,Las Vegas, NV, USA,",[],"Senses Spa, Toronto"," Spas
",,5 of 5 stars,"
I've been coming to Senses for a few years to have massages, both at their old location on the third floor of the hotel and where it is now in the concourse.
I can see that some people don't like the location, and the fact that it's not luxurious like Elmwood or Stillwater is. I could care less about the...


More 


"
