name,memberCity,memberCounry,MemberGender,memberAge,CitiesVisited,Countriesvisited,memberDescription,Activitiy,Type,ownerdesc,rating,review
Kslfromboston,Boston,Massachusetts, female , 35-49 ,"['boston', ' ma', 'orlando', ' fl', 'cambridge', ' ma', 'hershey', ' pa', 'salem', ' ma', 'uncasville', ' ct', 'braintree', ' ma', 'brookline', ' ma', 'quincy', ' ma', 'concord', ' ma', 'dedham', ' ma', 'providence', ' ri']",[' usa'],[],"Feithe og, Boston",,,1 of 5 stars,"Got a gift certificate to FO so I didn't even look @ the value. One hour massage lasted 45 min. Last time I checked, that wasn't 60 min! The hot rocks were the best part:) love it. But a hot shower would've been just as good. I wish I left relaxed. Instead, I left in pain, needing Motrin, a hot shower, a nap & a visitor to my chiropractor the next day. My masseuse really hurt my shoulder blades & head & neck. She concentrated solely on the upper body & neglected my tired feet."
jrhmdtraumUsa,usa,usa,,,"['kingsport', ' tn', 'hilton head', ' sc', 'asheville', ' nc', 'boston', ' ma', 'gothenburg', 'grand case', 'harryda', 'marigot', 'miami beach', ' fl', 'terres basses', 'tucson', ' az', 'washington dc', ' dc']","[' usa', ' sweden', ' st maarten-st martin']",[],"Nami Spa, Boston",,,1 of 5 stars,"
1. Booked over phone and given one price for firm massage (without stretching). On check out charged more
2. Did not do upper chest or lateral gluteals
3, Asked deep and got soft
If you are muscular and like firm, font go. - if you like soft relaxing, maybe ok (she tells you no talking)
4, Would never go back
"
SamSouthPark,CHARLOTTE,CHARLOTTE,,,"['asheville', ' nc', 'boston', ' ma', 'charlotte', ' nc', 'roswell', ' ga']",[' usa'],[],"Big Dig Boston Group Tour, Boston",,,3 of 5 stars,"
It was very interesting to see and hear how the city dealth with such a tremendous improvement program to its intercity highway system. The complexity and costs were staggering! And, the presentation (talks and facilities) were very enjoyable even in the winter!
"
roaminggypsy13,UK,UK,,,"['corralejo', 'boston', ' ma', 'london', 'albuquerque', ' nm', 'amsterdam', 'atlanta', ' ga', 'austin', ' tx', 'barcelona', 'birmingham', 'brussels', 'cancun', 'chicago', ' il']","[' spain', ' usa', ' uk', ' the netherlands', ' belgium', ' mexico']",[],"G Spa, Boston",,,4 of 5 stars,"
Went here for a friends bachlorette party. They were wonderful, accommodating and the treatments were fantastic. A little pricey but worth it!
"
Jleibo,Woodbridge,Connecticut,,,"['boston', ' ma', 'shanghai', 'isla de vieques', 'philadelphia', ' pa', 'woodbridge', ' ct', 'miami', ' fl', 'siem reap', 'albuquerque', ' nm', 'new york city', ' ny', 'cambridge', ' ma', 'new haven', ' ct', 'chiang mai']","[' usa', ' china', ' puerto rico', ' cambodia', ' thailand']",[],"Bella Sante Day Spa Med Spa, Boston",N/A,,5 of 5 stars,My wife and I have been to Bella Sante a few times. Each time they are professional and make you feel valued. It is a great day spa on Newbury Street in Boston. We have gotten massages each time and they were great. I highly recommend this spa when in Boston.
jayalakshmi,vijayawada,vijayawada, female , 25-34 ,"['boston', ' ma', 'kovalam', 'rameswaram']","[' usa', ' india']",[],"Giuliano, the Spa for Beauty and Wellness, Boston",,,5 of 5 stars,"No matter where I go I'm always looking for a good spa. So I was happy to find a little gem called Giuliano, the Spa for Beauty and Wellness

The radiant reflection of total well-being and balance of body and spirit that exists within every person. The balm of natural, pure products, treatments by caring professionals, and relaxation in elegant surroundings.

These are the Giuliano elements that combine to transform you, body and soul. So come... discover your natural beauty...naturally.

Giuliano Day Spa is a winner of Boston Magazine Best of Boston and is listed as one of the top 25 salons in America by Salon Today Magazine.

I had the pleasure of having my first massage at Giuliano Day Spa. It was absolute bliss. The atmosphere they create is extremely relaxing and comfortable. The locker room and massage rooms themselves are extremely well-kept, and the staff is extremely professional. It is certainly a treat to be pampered at Giuliano.

Giuliano Day Spa is probably the most well known and most popular day spa in the city. For my mother's 50th birthday, my siblings and I chipped in and bought her a full day of services at Giuliano, and I went along to keep her company. She was a bit nervous, as she never pampers herself and did not know what to expect. She loved it!! The staff was extremely professional, respectful and understanding that it was a very significant day for my mother - you could tell they were trying hard to make it special for her. They were friendly, but not too chatty or intrusive. Every service seemed great, from the full body massage, to the manicure and pedicure, to the hair style and makeup application! We enjoyed the spa lunch as well. She left very happy and so relaxed she wanted to take a nap!:)"
Eatsbonbons,Boston,Boston,,,"['boston', ' ma', 'newport', ' ri', 'pittsburgh', ' pa', 'new york city', ' ny', 'chicago', ' il', 'grand canyon national park', ' az', 'philadelphia', ' pa', 'rome', 'wilmington', ' vt', 'bloomsburg', ' pa', 'new haven', ' ct', 'providence', ' ri']","[' usa', ' italy']",[],"Newbury Day Spa, Boston",,,4 of 5 stars,"This is where you want to go on Newbury Street if you want excellent service without maxing out your credit card. The women who work here have been doing this a long time and they know what they're doing. And because it's not a fancy, schmancy salon, the prices are reasonable. You will not be offered champagne and strawberries here. You will be met by the owner with a smile, offered water, you'll receive an excellent pedi or waxing, whatever, and be told to enjoy your day. That's it!"
2sisterstravel,Boston,Massachusetts, Female ,,"['boston', ' ma', 'cambridge', ' ma', 'naples', ' fl', 'kennebunkport', ' me', 'somerville', ' ma', 'lenox', ' ma', 'concord', ' ma', 'salem', ' ma', 'nantucket', ' ma', 'natick', ' ma', 'westminster', ' ma', 'minneapolis', ' mn']",[' usa'],"['I was born in Boston and have enjoyed finding new places to eat, drink and laugh. It gets harder and harder to find the places that really stick out but I keep trying. Spending hard earned money on food and enterainment that is no good is a sin - so I love the idea of giving someone a heads up before heading out! ']","Chocolate and Beer Tour of Beacon Hill and Back Bay, Boston",,,5 of 5 stars,"I took the MBTA and stopped off at Charles/MGH and walked to the top of Charles Street. There I met with the tour guide, Bill. He was attentive and ready to help all of us understand what to do next. This is a walking tour, so wear comfortable shoes and weather appropriate clothing. You do stop off at several bars and chocolate shops where you can sit and have lunch, so bring a few extra dollars if you wish to purchase goods. There are places to stop along the way to use the restroom. I really liked the interesting factoids and story's Bill told as we visited each place. At the end of the tour everyone, including myself was smiling and feeling VERY good."
rkissel,Stuttgart,Germany, female , 35-49 ,"['stuttgart', 'gross-umstadt', 'munich', 'york', 'frankfurt', 'rio de janeiro', 'ludwigsburg', 'dresden', 'fussen', 'bad worishofen', 'boston', ' ma', 'darmstadt']","[' germany', ' uk', ' brazil', ' usa']",[],"Boston Heritage Tours, Inc., Boston",,,5 of 5 stars,Wir haben an einer gefhrten Freedom-Trail Walking Tour teilgenommen. Der historisch gekleidete Fhrer brachte die Geschichte der Unabhngigkeit sehr informativ und kurzweilig dar. Die ca. 2 stndige Tour deckte viele wichtige Sehenswrdigkeiten in der Innenstadt ab und vermittelte auch Nicht-Amerikanern einen interessanten Einblick in die amerikanische Geschichte.
Kungfuchoirboy,Boston,Massachusetts, male , 35-49 ,"['boston', ' ma', 'la fortuna de san carlos', 'mahonda', 'meguro', 'miami', ' fl', 'new york city', ' ny', 'newport', ' ri', 'reykjavik', 'st. helena', ' ca', 'amsterdam', 'antwerp', 'arenal volcano national park']","[' usa', ' costa rica', ' tanzania', ' japan', ' iceland', ' the netherlands', ' belgium']","[""Some people say they like to travel. My wife and I LOVE to travel. We tend to mix Luxury and then head to active Boutique adventures. We've ridden across Vietnam on motorbikes, climbed Kilimanjaro, and ran a Tough Mudder through ice and snow.\nBut we're not fitness freaks and we know how to have a good time.\nWe can backpack in the rough when the time is right but we know how to value and rate the best hotels in the world. And most importantly we want to chase down those fun and different experiences by doing the investigative work ourselves.\nOne day maybe we'll be travel planners. For now, we hope our reviews are helpful so feel free to ask us about any location visited. ""]","Joseph S. Kennedy Tour Boat Day Tours, Boston",,,4 of 5 stars,"
there are plenty of boat options in Boston...but this seemed like a fun way to combine history and fresh air. I bought a ticket for my parents visiting from England...and they had a great time.
Warning though - the address listed above is incorrect....the pick up is Charlestown Navyyard Pier 1 and not Rowes Wharf
"
EuroTex,Germany,Germany, female , 50-64 ,"['prague', 'boston', ' ma', 'bruggen', 'captiva island', ' fl', 'dusseldorf', 'florence', 'frankfurt', 'geneva', 'istanbul', 'luxembourg city', 'seville']","[' czech republic', ' usa', ' germany', ' italy', 'florida panhandle', ' switzerland', ' turkey', ' luxembourg', ' spain']",[],"Boston Urban Adventures, Boston",N/A,,5 of 5 stars,"Our large group of two moms and six boys aged 10 - 18 did the 3hour City Tour and loved it. The guides were friendly, smart and interesting. A great overview of the City."
