name,memberCity,memberCounry,MemberGender,memberAge,CitiesVisited,memberDescription,Activitiy,Type,ownerdesc,rating,review
name,memberCity,memberCounry,MemberGender,memberAge,CitiesVisited,memberDescription,Activitiy,Type,ownerdesc,rating,review
KirstyLF,St. Albert,Canada, female , 25-34 ,"San Francisco, CA, USA,Edmonton, Alberta, Canada,Niagara Falls, Ontario, Canada,Bucerias, Mexico,Los Angeles, CA, USA,Vancouver, British Columbia, Canada,Victoria, British Columbia, Canada,Calgary, Alberta, Canada,Banff, Alberta, Canada,Halifax, Nova Scotia, Canada,Ottawa, Ontario, Canada,Palm Springs, CA, USA,",[],"VIP Private Street Rod Limo Tour, Los Angeles",,,,"
Did not take this tour....was going to take their regular hollywood tour....
Lady approched us as we came off the metro....we were told they would go to the play boy mansion for sure (main reason I wanted to go on this) This lady was really nice...didnt have all her facts straight about playboy but was willing to give us the...


More 


"
onthego52,Los Angeles,California,,,"Los Angeles, CA, USA,Venice, Italy,",[],"LA Float Center, Los Angeles",,,,"
People were friendly and fun. Float tanks are state of the art and the whole experience was unique in itself. Will definitely do again. Great way to relax!
"
HimaniGupta,Omaha,Omaha,,,"Madison, WI, USA,Fish Creek, WI, USA,Hanover, NH, USA,Honolulu, HI, USA,Los Angeles, CA, USA,St. Thomas, U.S. Virgin Islands,Puerto Rico, Caribbean,San Juan, Puerto Rico,Omaha, NE, USA,",[],"The City Tour Los Angeles Day Tours, Los Angeles"," Tours
",,,"
So we booked the tour through our hotel and found out that all other tour companies were charging 40 for two adults when this company was charging us 44 per adult. They were all open bus tours so we called to find out if they will match the price and we were told they can't coz they are a reputed...


More 


"
RobertD807,Boston,Massachusetts,,,"Newport Beach, CA, USA,Wildwood, NJ, USA,Halifax, Nova Scotia, Canada,Lincoln, NH, USA,Stoneham, MA, USA,Astoria, NY, USA,Salem, MA, USA,West Hartford, CT, USA,Wildwood Crest, NJ, USA,Balboa Island, CA, USA,Boston, MA, USA,Buena Park, CA, USA,",[],"E Hollywood Tours, Los Angeles"," Bus Tours
",,,"
Not staying close by, I searched the web and stumbled upon this tour. Based on the information on the site and its professional appearance I thought we would give it a try,
First let me point out an apparent bait and switch. The website depicts a modern, well-maintained vehicle. However, riders are escorted around the corner to what can only...


More 


"
LAFINH20,Langhorne,Langhorne, female , 35-49 ,"Philadelphia, PA, USA,Los Angeles, CA, USA,Rome, Italy,Washington DC, DC, USA,Atlanta, GA, USA,Beach Haven, NJ, USA,Beckley, WV, USA,Capri, Italy,Dearborn, MI, USA,Devils Tower, WY, USA,Estes Park, CO, USA,Florence, Italy,",[u'I have the luck to have a husband that travels alot and love the perks that flow my way for hotel and airfare. I also love to drive and daytrips with frerinds or family are always on agenda. I have exactly drove across the USA with hubby from Philly to Seattle in a Explorer. We took 5days on that road trip. '],"VIP Private Street Rod Limo Tour, Los Angeles",,,5 of 5 stars,"
I found this tour online , and as my Son and Husband were going fishing I decided this was a great way to see Old Hollywood and the Beverly Hills area of Los Angles. Joel the owner and driver met me in front of the Roosevelt Hotel. He called me to let me know he was running late, and that...


More 


"
littleian,Auckland,Auckland,,,"Brisbane, Australia,Los Angeles, CA, USA,Paihia, New Zealand,Anaheim, CA, USA,Honolulu, HI, USA,Cambridge, UK,",[],"E Hollywood Tours, Los Angeles"," Bus Tours
",,,"
We, along with many others, took this tour from Hollywood Blvd. We were promised 50 celebrity houses, crime scenes and a visit to the Hollywood sign. All started off well, then the fuel warning light came on and we had to stop for petrol. We were then left for 20 minutes at Rodeo Drive before a slow and boring crawl...


More 


"
BimChim,London,United Kingdom,,,"Rome, Italy,Tromso, Norway,Vienna, Austria,Fishguard, UK,Los Angeles, CA, USA,Pembroke Dock, UK,Cardiff, UK,Flagstaff, AZ, USA,Goodwick, UK,Las Vegas, NV, USA,London, UK,Marseille, France,",[],"Hollywood Tourz - Open Bus Tours, Los Angeles",,"Fun Sightseeing Open Bus Tours of Los Angeles, California. Located on the Walk of Fame in Hollywood. We offer 2 Hour Tours to the Hollywood Sign, Movie Locations, and Celebrity Homes. See Hollywood, West Hollywood, Beverly Hills, Bel Air, and Holmby Hills. From the Hollywood Blvd to Rodeo Drive, Ride through the Sunset Strip and Mulholland Drive. See You Soon!",,"
We went on this tour recently, and had a good guide and great weather! The tour lasted 2 hours and does exactly what it says on the tin - celebrities homes, and ex-homes. Yes most were behind bushes or viewable from a distance, but that's Hollywood, and not the tours fault. The view of the sign is pretty distant, so...


More 


"
davidfricks,Los Angeles,California,,,"Los Angeles, CA, USA,Austin, TX, USA,Cozumel, Mexico,Grand Cayman, Cayman Islands,Houston, TX, USA,Las Vegas, NV, USA,Marina del Rey, CA, USA,Miami Beach, FL, USA,Myrtle Beach, SC, USA,New Orleans, LA, USA,New York City, NY, USA,Ocho Rios, Jamaica,",[],"Ocean Adventures Dive Company, Los Angeles",,,5 of 5 stars,"
If your looking to book a dive trip, look no further than Ocean Adventures. The owner Steve is a great guy who hooked me up with an amazing underwater adventure at Catalina Island. You can learn to dive or just go to check out the California kelp forests. The boat was clean and the food was awesome.
"
Changa123,Westwood,California,,,"Los Angeles, CA, USA,",[],"LaVie Privee Medispa, Los Angeles",,"Medical spa located in the Westwood area of Los Angeles. Premium services offered range from laser anti-aging treatments and hair removal, to facials, massage, and much more!",,"
I called to set up an appointment and receptionist that answer sounded very irritated she even raised her voice for no reason.I though maybe she is having a bad day wanted to give her the benefit of the doubt and decided to go. I went for my appointment and I was horrified the receptionist she was very rude. In addition...


More 


"
