name,memberCity,memberCounry,MemberGender,memberAge,CitiesVisited,Countriesvisited,memberDescription,Activitiy,Type,ownerdesc,rating,review
EhsanNupur,,,,,['thimphu'],[' bhutan'],[],"Authentic Bhutan Tours - Day Tours, Thimphu",,,4 of 5 stars,"
My wife and I are very happy clients of Authentic Bhutan Tours. We are planning to get their services again next year.
They have reserved hotels im Thimphu, Paro and Punakha for us which were good value for money. The driver come guide provided by Authentic was excellent.
The owner Mr. Ten Dorji personally took us for cultural show in...


More 


"
Maurici0Garcia,Sao Paulo,SP, male , 50-64 ,"['manuel antonio national park', 'thimphu', 'agra', 'bled', 'salvador', 'bath', 'bonito', 'cairo', 'chicago', ' il', 'fortaleza', 'istanbul', 'la fortuna de san carlos']","[' costa rica', ' bhutan', ' india', ' slovenia', ' brazil', ' uk', ' egypt', ' usa', ' turkey']",[],"Yeoong Tours & Travels - Private Tiger's Nest Hiking, Thimphu",,,4 of 5 stars,"
Our Bhutan tour was fantastic and an unforgetable trip. Our itinerary was perfect and our guide and driver were very efficient, courteous and friendly.
"
JillPDrysdale,Drysdale,Drysdale, female , 50-64 ,"['beijing', 'venice', 'thimphu', 'yangshuo county', 'legian', 'manarola', 'punakha']","[' china', ' italy', ' bhutan', ' indonesia']",[],"Explore Bhutan - Private Day Tours, Thimphu", Tours,"

Owner description: Offers cultural tours, trekking, bird watching, pilgrimage tours, textile tours, and festival tours in Bhutan. 
",5 of 5 stars,"
When our group of four 50+ year old female friends first decided to travel to Bhutan, we entered a whole new unfamiliar travel experience. Normally we travel independently without the services of guides, drivers or even pre-booking accommodation. But Bhutan operates differently so we were faced with LOTS of questions. Which travel company to choose? Is it safe to transfer...


More 


"
JoeB007,Washington DC,District of Columbia,,,['thimphu'],[' bhutan'],[],"Rainbow Photo Tours of Bhutan, Thimphu", Tours,"

Owner description: Travel in cars, not a bus, and go where others don't. Fifteen days in country--we traverse the entire country and exit to Guwhati airport in India. We are the hosts of two private festivals and we have access to temples and dressing rooms where we can take pictures. Then enjoy a picnic lunch that we sponsor with over 100 villagers. We believe in community tourism and emerse you in Bhutanese culture, religion, flaura and fauna. Just visit our web site at RainbowPhotoTours, you won't be disappointed. 
",5 of 5 stars,"
Some years (and six visits) ago I chose Rainbow Photo Tours as they seemed willing to meet my desire for a very flexible solo travel menu with a variety of interests, not only focusing on photography and culture but also a very strong desire to see Bhutan both on and off the beaten path. I wanted to get back into...


More 


"
bucci,Idaho,Idaho, female , 50-64 ,"['tallinn', 'barcelona', 'puerto varas', 'boise', ' id', 'budapest', 'helsinki', 'denver', ' co', 'fernie', ' british columbia', 'minneapolis', ' mn', 'tacoma', ' wa', ""coeur d'alene"", ' id', 'edmonton', ' alberta']","[' estonia', ' spain', ' chile', ' usa', ' hungary', ' finland', ' canada']","[""See myself as a traveler more than a tourist. Could travel nonstop. Not one of those folks who miss sleeping in their own bed. Big fan of staying in hostels (they aren't just for young students anymore!) because you get to meet so many more interesting people. Or, if not a hostel, then renting an apartment, so I can live a bit like the locals. ""]","Rainbow Photo Tours of Bhutan, Thimphu", Tours,"

Owner description: Travel in cars, not a bus, and go where others don't. Fifteen days in country--we traverse the entire country and exit to Guwhati airport in India. We are the hosts of two private festivals and we have access to temples and dressing rooms where we can take pictures. Then enjoy a picnic lunch that we sponsor with over 100 villagers. We believe in community tourism and emerse you in Bhutanese culture, religion, flaura and fauna. Just visit our web site at RainbowPhotoTours, you won't be disappointed. 
",5 of 5 stars,"
This is ""not your normal"" group trip. Each couple/2 people has their own driver and guide--and are free to make decisions about where to stop, what to skip etc. Small group (16-18) convenes for breakfast, sometimes lunch and dinner/where you stay the night.
This tour goes from West to East........and the farther East you travel, the fewer tourists you encounter....


More 


"
mamartini,Boise,Idaho,,,['thimphu'],[' bhutan'],[],"Rainbow Photo Tours of Bhutan, Thimphu", Tours,"

Owner description: Travel in cars, not a bus, and go where others don't. Fifteen days in country--we traverse the entire country and exit to Guwhati airport in India. We are the hosts of two private festivals and we have access to temples and dressing rooms where we can take pictures. Then enjoy a picnic lunch that we sponsor with over 100 villagers. We believe in community tourism and emerse you in Bhutanese culture, religion, flaura and fauna. Just visit our web site at RainbowPhotoTours, you won't be disappointed. 
",5 of 5 stars,"
I have traveled on many group tours (hiking and photography) in the past and have never taken the time to write a review. My recent tour of Bhutan, however, earned the effort it takes to review and recommend the Rainbow Tour Company to future travelers to Bhutan.
I had wanted to travel to Bhutan for over 10 years and made...


More 


"
Guy_Catz,Chiang Mai,Thailand,,,['thimphu'],[' bhutan'],[],"Bhutan Swallowtail Tours - Day Trips, Thimphu", Bhutan Swallowtail Tours and Travels aims at providing tourists with special and privileged tours of the beautiful and exotic Land of the Peaceful Thunder Dragon. We take pride in being able to provide our tourist guests with off the beaten track experiences and the best that Bhutan has to offer.,"

Owner description: Bhutan Swallowtail Tours and Travels aims at providing tourists with special and privileged tours of the beautiful and exotic Land of the Peaceful Thunder Dragon. We take pride in being able to provide our tourist guests with off the beaten track experiences and the best that Bhutan has to offer. 
",5 of 5 stars,"
I just came back from a 13 days trip in Bhutan with my six and a half years old daughter.
Choosing a travel agent seems like a hard task at first. Reading reviews, checking their websites, etc.
I found some really good reviews about Bhutan Swallowtail Tours and more specifically about the owners Tashi and Sonam personally. For me, this...


More 


"
AlexCommentary,,,,,['thimphu'],[' bhutan'],[],"Bhutan Swallowtail Tours - Day Trips, Thimphu", Bhutan Swallowtail Tours and Travels aims at providing tourists with special and privileged tours of the beautiful and exotic Land of the Peaceful Thunder Dragon. We take pride in being able to provide our tourist guests with off the beaten track experiences and the best that Bhutan has to offer.,"

Owner description: Bhutan Swallowtail Tours and Travels aims at providing tourists with special and privileged tours of the beautiful and exotic Land of the Peaceful Thunder Dragon. We take pride in being able to provide our tourist guests with off the beaten track experiences and the best that Bhutan has to offer. 
",5 of 5 stars,"
Thasi and Sonam - the owners - are always on top of the visa and flight paperwork and Namgyel is a prudent driver and experienced guide. More so he represents a living role model with respect to a happy balanced Buddhist Bhutanese, at least in my mind as a first time visitor. The sights that you will be presented in...


More 


"
AtticBat,Manhattan,Manhattan,,,"['new delhi', 'thimphu']","[' india', ' bhutan']",[],"Bhutan Swallowtail Tours - Day Trips, Thimphu", Bhutan Swallowtail Tours and Travels aims at providing tourists with special and privileged tours of the beautiful and exotic Land of the Peaceful Thunder Dragon. We take pride in being able to provide our tourist guests with off the beaten track experiences and the best that Bhutan has to offer.,"

Owner description: Bhutan Swallowtail Tours and Travels aims at providing tourists with special and privileged tours of the beautiful and exotic Land of the Peaceful Thunder Dragon. We take pride in being able to provide our tourist guests with off the beaten track experiences and the best that Bhutan has to offer. 
",5 of 5 stars,"
Swallowtail Tours was able to tailor our short 4 day visit to Bhutan to include an amazing overview of this fascinating country. Our highlights included a hot stone bath at a farmhouse that included a visit with the hosts, a hands-on archery session, and let's not forget the legend of the Divine Madman's penises painted on the sides of houses....


More 


"
adqyc,Kuala Lumpur,Malaysia,,,['thimphu'],[' bhutan'],[],"Bhutan Swallowtail Tours - Day Trips, Thimphu", Bhutan Swallowtail Tours and Travels aims at providing tourists with special and privileged tours of the beautiful and exotic Land of the Peaceful Thunder Dragon. We take pride in being able to provide our tourist guests with off the beaten track experiences and the best that Bhutan has to offer.,"

Owner description: Bhutan Swallowtail Tours and Travels aims at providing tourists with special and privileged tours of the beautiful and exotic Land of the Peaceful Thunder Dragon. We take pride in being able to provide our tourist guests with off the beaten track experiences and the best that Bhutan has to offer. 
",5 of 5 stars,"
For all those who are heading to Bhutan for the first time, I would strongly recommend this company. I was honestly spoilt for choice in choosing a Bhutanese agency for our trip in Oct and decided to go with Bhutan SwallowTail as I was looking for a humble company that offered a personal touch and had great reviews. I was...


More 


"
straehle,Santa Barbara,California, male , 65+ ,"['santa barbara', ' ca', 'bangkok', 'cayucos', ' ca', 'ayutthaya', 'bridgeport', ' ca', 'dingle', 'fes', 'durham', 'keswick', 'la jolla', ' ca', 'phnom penh', 'poipu', ' hi']","[' usa', ' thailand', ' ireland', ' morocco', ' uk', ' cambodia']","['My wife likes art and culture, I like photographic opportunities, so we try to combine both on our trips. ']","Rainbow Photo Tours of Bhutan, Thimphu", Tours,"

Owner description: Travel in cars, not a bus, and go where others don't. Fifteen days in country--we traverse the entire country and exit to Guwhati airport in India. We are the hosts of two private festivals and we have access to temples and dressing rooms where we can take pictures. Then enjoy a picnic lunch that we sponsor with over 100 villagers. We believe in community tourism and emerse you in Bhutanese culture, religion, flaura and fauna. Just visit our web site at RainbowPhotoTours, you won't be disappointed. 
",5 of 5 stars,"
I actually went in April 2010, but the dropdown didn't allow that. I want to quote a couple of paragraphs I placed on Robin's website and then add some more comments
I have been on many tours and after each I always said, I wish that I could stop the bus whenever I see something to shoot. When I saw...


More 


"
tonysussex,Honolulu,Honolulu,,,['thimphu'],[' bhutan'],[],"Rainbow Photo Tours of Bhutan, Thimphu", Tours,"

Owner description: Travel in cars, not a bus, and go where others don't. Fifteen days in country--we traverse the entire country and exit to Guwhati airport in India. We are the hosts of two private festivals and we have access to temples and dressing rooms where we can take pictures. Then enjoy a picnic lunch that we sponsor with over 100 villagers. We believe in community tourism and emerse you in Bhutanese culture, religion, flaura and fauna. Just visit our web site at RainbowPhotoTours, you won't be disappointed. 
",5 of 5 stars,"
Randy Ormston's critique of this tour (below) really sums it up! My wife and I were on the same trip, and we too, found it magical! Randy has done a beautiful job of enumerating how special this trip is. If anything he has understated it! The tour is truly a fantastic experience!
Neither my wife or myself are serious photographers....


More 


"
MichaelWashington_DC,Washington,DC,,,"['aitutaki', 'thimphu']","[' cook islands', ' bhutan']",[],"Rainbow Photo Tours of Bhutan, Thimphu", Tours,"

Owner description: Travel in cars, not a bus, and go where others don't. Fifteen days in country--we traverse the entire country and exit to Guwhati airport in India. We are the hosts of two private festivals and we have access to temples and dressing rooms where we can take pictures. Then enjoy a picnic lunch that we sponsor with over 100 villagers. We believe in community tourism and emerse you in Bhutanese culture, religion, flaura and fauna. Just visit our web site at RainbowPhotoTours, you won't be disappointed. 
",4 of 5 stars,"
Run, do not walk, to go in the next tour by Rainbow, before Bhutan is swept away by the hurricane of modernization that has been released upon its people. For current photos that show what it is really like, see http://www.flickr.com/photos/21659898@N07/ for example.
The only reason I withheld one start from the overall rating is that some of the roads...


More 


"
DavidEbert0000,Hyattsville,Maryland,,,['thimphu'],[' bhutan'],[],"Rainbow Photo Tours of Bhutan, Thimphu", Tours,"

Owner description: Travel in cars, not a bus, and go where others don't. Fifteen days in country--we traverse the entire country and exit to Guwhati airport in India. We are the hosts of two private festivals and we have access to temples and dressing rooms where we can take pictures. Then enjoy a picnic lunch that we sponsor with over 100 villagers. We believe in community tourism and emerse you in Bhutanese culture, religion, flaura and fauna. Just visit our web site at RainbowPhotoTours, you won't be disappointed. 
",5 of 5 stars,"
Several years ago Bhutan was featured in the Smithsonian Folklife Festival held on the National Mall every summer in Washington, D.C., near to where we live. Having been just voted as the country with the highest of Gross National Happiness (GNH) index, I was curious to see what Bhutan had to offer. It was amazing to see the Mask Dancers,...


More 


"
Svgaby,San Francisco,California,Male ,,"['st. petersburg', 'thimphu', 'anse cochon', 'buenos aires', 'peterhof', 'playa carrillo', 'salvador', 'abu dhabi', 'airlie beach', 'amsterdam', 'anchorage', ' ak', 'annapurna region']","[' russia', ' bhutan', ' st. lucia', ' argentina', ' costa rica', ' brazil', ' united arab emirates', ' australia', ' the netherlands', ' usa', ' nepal']",[],"Bhutan Swallowtail Tours - Day Trips, Thimphu", Bhutan Swallowtail Tours and Travels aims at providing tourists with special and privileged tours of the beautiful and exotic Land of the Peaceful Thunder Dragon. We take pride in being able to provide our tourist guests with off the beaten track experiences and the best that Bhutan has to offer.,"

Owner description: Bhutan Swallowtail Tours and Travels aims at providing tourists with special and privileged tours of the beautiful and exotic Land of the Peaceful Thunder Dragon. We take pride in being able to provide our tourist guests with off the beaten track experiences and the best that Bhutan has to offer. 
",5 of 5 stars,"
Deciding to visit Bhutan was easy: it's a mysterious country, still untouched by mass tourism and no one I know has been there. However, planning the trip seemed like a huge task at first. One has to find a travel agency authorized by the Bhutanese government which should organize the whole trip including getting the visas and the plane tickets....


More 


"
