name,memberCity,memberCounry,MemberGender,memberAge,CitiesVisited,Countriesvisited,memberDescription,Activitiy,Type,ownerdesc,rating,review
Zinger23,Calgary,Canada,,,"['calgary', ' alberta']",[' canada'],[],"Newbury Spa, Calgary", Spas,"

Owner description Newbury Spa is a premium downtown Calgary Day Spa. Newbury Spa performs a full array of premium spa services: Dermalogica Custom Facials, Registered Massage Therapy; Both Therapeutic and Relaxation massage, Pedicures, Manicures, Detoxifying Body wraps, Hair Removal (waxing)The team of talented Registered Massage Therapists (RMT's) and Certified Aestheticians offer wonderful massage treatments and luxurious skin care in a tranquil environment, stimulating your senses and soothing your soul. The unique Newbury Spa approach, combined with skill and dedication to the craft, provides a truly one-of-a-kind experience, delivered by a dedicated team of professionals, making Newbury Spa a Calgary jewel. 
",5 of 5 stars,"
I have been to a few different spas in Calgary and have had some great experiences but Newbury really impressed me. First of all,the location is conveniently located right in the Beltline making it very easy to get to. From the outside it looks quite small but I can assure you that once you're inside it definitely opens up! I...


More 


"
KJDUB,Calgary,Canada, female , 25-34 ,"['calgary', ' alberta', 'edmonton', ' alberta', 'spokane', ' wa', 'mount vernon', ' wa', 'revelstoke', ' british columbia', 'toronto', ' ontario', 'bellingham', ' wa', 'minneapolis', ' mn', 'missoula', ' mt', 'moose jaw', ' saskatchewan', 'vancouver', ' british columbia', 'winnipeg', ' manitoba']","[' canada', ' usa']",[],"Oasis Wellness Centre & Spa, Calgary"," Spas, Health Clubs","
",2 of 5 stars,"
This spa has really gone downhill in recent years. It used to be great - but now its only redeeming qualities are the lounge and group areas. The staff is nice enough but services are not up to par of other local spas, and the staff is constantly trying to upsell you on services - which really takes away from...


More 


"
calgarysam_13,Calgary,Canada,,,"['calgary', ' alberta']",[' canada'],[],"Newbury Spa, Calgary", Spas,"

Owner description Newbury Spa is a premium downtown Calgary Day Spa. Newbury Spa performs a full array of premium spa services: Dermalogica Custom Facials, Registered Massage Therapy; Both Therapeutic and Relaxation massage, Pedicures, Manicures, Detoxifying Body wraps, Hair Removal (waxing)The team of talented Registered Massage Therapists (RMT's) and Certified Aestheticians offer wonderful massage treatments and luxurious skin care in a tranquil environment, stimulating your senses and soothing your soul. The unique Newbury Spa approach, combined with skill and dedication to the craft, provides a truly one-of-a-kind experience, delivered by a dedicated team of professionals, making Newbury Spa a Calgary jewel. 
",5 of 5 stars,"
Ive been to many spas in Calgary but this was my first time at Newbury. Stepping off busy, cold 11th ave I could not believe the beautiful oasis that was there once I stepped inside Newbury. The girls at the front were friendly and to-the-point, as soon as I took off my shoes the were ready to lead me to...


More 


"
Nanemme,,,,,"['calgary', ' alberta']",[' canada'],[],"Newbury Spa, Calgary", Spas,"

Owner description Newbury Spa is a premium downtown Calgary Day Spa. Newbury Spa performs a full array of premium spa services: Dermalogica Custom Facials, Registered Massage Therapy; Both Therapeutic and Relaxation massage, Pedicures, Manicures, Detoxifying Body wraps, Hair Removal (waxing)The team of talented Registered Massage Therapists (RMT's) and Certified Aestheticians offer wonderful massage treatments and luxurious skin care in a tranquil environment, stimulating your senses and soothing your soul. The unique Newbury Spa approach, combined with skill and dedication to the craft, provides a truly one-of-a-kind experience, delivered by a dedicated team of professionals, making Newbury Spa a Calgary jewel. 
",2 of 5 stars,"
Poor customer service and the treatments were just 'ok'. Keep searching ....
The massage was good but very basic and not a spa caliber massage. Staff were quick to dismiss.
It was an average experience and average is most definitely not what you look for when booking your next spa visit.
I would not revisit or recommend.
"
eveshay,Alberta,Alberta,,,"['barra de potosi', 'calgary', ' alberta']","[' mexico', ' canada']",[],"Oasis Wellness Centre & Spa, Calgary"," Spas, Health Clubs","
",1 of 5 stars,"
I bought a groupon for a facial and pedicure. First off they add a 18% gratuity --- that's annoying I like to tip according to service not be told what to tip.
I had an eyebrow wax with the facial and had a reaction. My skin flared up, it was red, swollen and very painful. Two days later I developed...


More 


"
EXPL53,Ottawa,Canada,,,"['baddeck', ' nova scotia', 'calgary', ' alberta', 'la romana', 'lunenburg', ' nova scotia', 'puerto vallarta', 'rincon de guayabitos', 'yelapa', 'nuevo vallarta', 'san jose del cabo', 'atlantic city', ' nj', 'austin', ' tx']","[' canada', ' dominican republic', ' mexico', 'la romana province', ' usa']",[],"Newbury Spa, Calgary", Spas,"

Owner description Newbury Spa is a premium downtown Calgary Day Spa. Newbury Spa performs a full array of premium spa services: Dermalogica Custom Facials, Registered Massage Therapy; Both Therapeutic and Relaxation massage, Pedicures, Manicures, Detoxifying Body wraps, Hair Removal (waxing)The team of talented Registered Massage Therapists (RMT's) and Certified Aestheticians offer wonderful massage treatments and luxurious skin care in a tranquil environment, stimulating your senses and soothing your soul. The unique Newbury Spa approach, combined with skill and dedication to the craft, provides a truly one-of-a-kind experience, delivered by a dedicated team of professionals, making Newbury Spa a Calgary jewel. 
",3 of 5 stars,"
My friends and I went to this spa for massages and body treatments. The location is perfect and the staff were professional. However, the spa itself needs a facelift. Some of the furniture has broken edges, the bathrobes are starting to wear, and the facilities (such as showheads) need repair. The whole place could use a good scrubbing. Walls had...


More 


"
NiCBu,Calgary,Canada,,,"['calgary', ' alberta']",[' canada'],[],"Oasis Wellness Centre & Spa, Calgary"," Spas, Health Clubs","
",4 of 5 stars,"
My cousin and I had a pedicure and facial booked over the long weekend. It was a Teambuy, and they added the 18% gratuity, but I must say, the technician I had, Angelina, from Russia, was so wonderful. I have been to many spas, and I must say that Angelina has been one of the best estheticians I have had....


More 


"
JRams2013,Calgary,Canada,,,"['calgary', ' alberta']",[' canada'],[],"Oasis Wellness Centre & Spa, Calgary"," Spas, Health Clubs","
",1 of 5 stars,"
Horrible...Horrible...Horrible.
After such horrible reviews all over the web, i was very reluctant to return to this spa as its been a long time since i've gone to it. It's been a very stressful month and i was very much looking forward to a day of Zen and relaxation. One of the main reasons i decided to go ahead with...


More 


"
bbovey,Vancouver,Canada,,,"['calgary', ' alberta']",[' canada'],[],"Newbury Spa, Calgary", Spas,"

Owner description Newbury Spa is a premium downtown Calgary Day Spa. Newbury Spa performs a full array of premium spa services: Dermalogica Custom Facials, Registered Massage Therapy; Both Therapeutic and Relaxation massage, Pedicures, Manicures, Detoxifying Body wraps, Hair Removal (waxing)The team of talented Registered Massage Therapists (RMT's) and Certified Aestheticians offer wonderful massage treatments and luxurious skin care in a tranquil environment, stimulating your senses and soothing your soul. The unique Newbury Spa approach, combined with skill and dedication to the craft, provides a truly one-of-a-kind experience, delivered by a dedicated team of professionals, making Newbury Spa a Calgary jewel. 
",5 of 5 stars,"
I love Newbury Spa  and I am a loyal client. I live in Vancouver and I travel often to Calgary for work and always drop in to Newbury to either enjoy a massage or pedicure  depending on the time of year. Im in Calgary 4-5 times / year and the Manager says I spa there more than some...


More 


"
Alberta83,Calgary,Canada, female , 25-34 ,"['st maarten-st martin', 'calgary', ' alberta', 'athens', 'airdrie', ' alberta', 'philipsburg', 'banff', ' alberta', 'edmonton', ' alberta', 'simpson bay', 'canmore', ' alberta', 'las vegas', ' nv', 'lindos', 'rhodes']","[' caribbean', ' canada', ' greece', ' st maarten-st martin', ' usa']",[],"Newbury Spa, Calgary", Spas,"

Owner description Newbury Spa is a premium downtown Calgary Day Spa. Newbury Spa performs a full array of premium spa services: Dermalogica Custom Facials, Registered Massage Therapy; Both Therapeutic and Relaxation massage, Pedicures, Manicures, Detoxifying Body wraps, Hair Removal (waxing)The team of talented Registered Massage Therapists (RMT's) and Certified Aestheticians offer wonderful massage treatments and luxurious skin care in a tranquil environment, stimulating your senses and soothing your soul. The unique Newbury Spa approach, combined with skill and dedication to the craft, provides a truly one-of-a-kind experience, delivered by a dedicated team of professionals, making Newbury Spa a Calgary jewel. 
",5 of 5 stars,"
Went for a manicure and pedicure. My mom and I go each year for our birthdays. I have never been disappointed once in the last 4 years. Very friendly staff, clean facilities, relaxing atmosphere, refreshments are always in the waiting lounge where you go before your appointment. The technicians do a fabulous job. I love going here and cannot wait...


More 


"
1roberttravis1,Orlando,Florida,,,"['calgary', ' alberta', 'airdrie', ' alberta', 'altamonte springs', ' fl', 'anchorage', ' ak', 'ann arbor', ' mi', 'apopka', ' fl', 'astor', ' fl', 'atlanta', ' ga', 'baltimore', ' md', 'banff', ' alberta', 'banff national park', ' alberta', 'barberville', ' fl']","[' canada', ' usa']",[],"Oasis Wellness Centre & Spa, Calgary"," Spas, Health Clubs","
",5 of 5 stars,"
I am a frequent Oasis customer and enjoy the services whenever Im in Calgary. Im shocked by some of the negative comments as I have never had even a remote issue in over ten years as a customer. I had the pleasure of enjoying a 90 massage yesterday and my therapist, Brandyn, was amazing. The steam room was fantastic as...


More 


"
MelindalovesJordan,Calgary,Calgary, female , 35-49 ,"['mazatlan', 'calgary', ' alberta', 'edmonton', ' alberta', 'playa del carmen', 'priddis', ' alberta', 'drumheller', ' alberta', ""ka'anapali"", ' hi', 'lahaina', ' hi', 'puerto morelos', 'sylvan lake', ' alberta', 'arenal volcano national park', 'cancun']","[' mexico', ' canada', ' usa', ' costa rica']",[],"Oasis Wellness Centre & Spa, Calgary"," Spas, Health Clubs","
",4 of 5 stars,"
I would like to say firstly that I am surprised at some of the very negative experiences people have had. I would like to share my experience.
:my initial phone call was two days prior and I spoke with a gentleman named Jeff and he was very polite,gracious and accommodating.
:I arrived 30min prior to my first appointment and was...


More 


"
coolbride34,Calgary,Canada, female , 25-34 ,"['calgary', ' alberta']",[' canada'],[],"Newbury Spa, Calgary", Spas,"

Owner description Newbury Spa is a premium downtown Calgary Day Spa. Newbury Spa performs a full array of premium spa services: Dermalogica Custom Facials, Registered Massage Therapy; Both Therapeutic and Relaxation massage, Pedicures, Manicures, Detoxifying Body wraps, Hair Removal (waxing)The team of talented Registered Massage Therapists (RMT's) and Certified Aestheticians offer wonderful massage treatments and luxurious skin care in a tranquil environment, stimulating your senses and soothing your soul. The unique Newbury Spa approach, combined with skill and dedication to the craft, provides a truly one-of-a-kind experience, delivered by a dedicated team of professionals, making Newbury Spa a Calgary jewel. 
",5 of 5 stars,"
Just left with my Tutti Frutti manicure - and my nails are FLAWLESS! Thank you to my sweet aesthetician for doing such an awesome job. Thanks again everyone - great community!
"
zostarks,Calgary,Canada, female , 25-34 ,"['calgary', ' alberta', 'las vegas', ' nv', 'canmore', ' alberta', 'new york city', ' ny', 'toronto', ' ontario', 'fernie', ' british columbia', 'istanbul', 'paris', 'zurich', 'goreme', 'panorama', ' british columbia', 'haleiwa', ' hi']","[' canada', ' usa', ' turkey', ' france', ' switzerland']","['Love travelling, love food, love wine. Dislike touristy destinations, always referred to as ""the boathouse expirience""-nyc WORST lunch ever, infact I will go review it now. ']","Oasis Wellness Centre & Spa, Calgary"," Spas, Health Clubs","
",4 of 5 stars,"
Its located on the bottom floor, so there are no windows, but they manage to keep it feeling cozy not gloomy. I would say the service I've recieved there has been medium to good, never excellent, it all depends on the person you get. Its a nice place for groups, mani-pedis that sort of thing, and I've had some luck...


More 


"
