name,memberCity,memberCounry,MemberGender,memberAge,CitiesVisited,Countriesvisited,memberDescription,Activitiy,Type,ownerdesc,rating,review
Bigbirdauto11,,,,,"['cookeville', ' tn', 'dallas', ' tx', 'grove', ' ok', 'nashville', ' tn', 'playa del carmen', 'concord', ' ca', 'oklahoma city', ' ok', 'davis', ' ok', 'fort lauderdale', ' fl', 'newnan', ' ga', 'pleasant hill', ' ca', 'puerto aventuras']","[' usa', ' mexico']",[],"Deep Ellum Center for the Arts, Dallas",,,5 of 5 stars,"
The art festival was 6 blocks of great art, fun food and some great music..as we strolled we found many artist that don't make the Oklahoma circuit that probably should..
"
larosenoirechile,Santiago,Chile, female , 25-34 ,"['punta del este', 'san carlos de bariloche', 'foz do iguacu', 'vina del mar', 'dallas', ' tx', 'buenos aires', 'montevideo', 'santiago', 'puerto iguazu', 'iguazu national park', 'istanbul', 'punta cana']","[' uruguay', ' argentina', ' brazil', ' chile', ' usa', ' turkey', ' dominican republic']",[],"Deep Ellum Center for the Arts, Dallas",,,5 of 5 stars,
Morgenstern71,Gilmer,Texas,,,"['new york city', ' ny', 'san francisco', ' ca', 'longview', ' tx', 'hot springs', ' ar', 'orlando', ' fl', 'san antonio', ' tx', 'dallas', ' tx', 'hanksville', ' ut', 'niagara falls', ' ny', 'corpus christi', ' tx', 'harleton', ' tx', 'las vegas', ' nv']",[' usa'],[],"Segway Nation Dallas, Dallas", Segway Tours,"

Owner description Segway Nation offers 6 exciting segway tours daily. Our tours visit many of downtown Dallas's historic sites including the famous Dealey Plaza, JFK Memorial, Victory Park, American Airlines Center, Pioneer Plaza, City Hall, Thanks-Giving Square and much more! We have tours that accommodate everyone's interest, ranging from our Historical, Fun Facts, and Sightseeing Tours. It's truely an activity your whole family or the whole office can enjoy! 
",5 of 5 stars,"
My husband took me on this Segway tour with Cece. She gave us confidence and good instruction on riding the Segway. What fun and so easy to learn. I think you can learn to ride in 15 minutes. From there you seem to learn to move with it. The tour was awesome! We covered more of downtown Dallas in an...


More 


"
Julybabee,Dallas,Texas,,,"['dallas', ' tx']",[' usa'],[],"Move Studio, Dallas",,"
",5 of 5 stars,"
I had the pleasure of taking a Chogaflow class from Valerie. I've been thinking about it ever since. Valerie is an outstanding teacher; she gives individual attention and help with each exercise movement. I felt relaxed and peaceful at the end of the class. It was a very positive experience as are all of the classes. I encourage you to...


More 


"
Morgenstern71,Gilmer,Texas,,,"['new york city', ' ny', 'san francisco', ' ca', 'longview', ' tx', 'hot springs', ' ar', 'orlando', ' fl', 'san antonio', ' tx', 'dallas', ' tx', 'hanksville', ' ut', 'niagara falls', ' ny', 'corpus christi', ' tx', 'harleton', ' tx', 'las vegas', ' nv']",[' usa'],[],"Segway Nation Dallas, Dallas", Segway Tours,"

Owner description Segway Nation offers 6 exciting segway tours daily. Our tours visit many of downtown Dallas's historic sites including the famous Dealey Plaza, JFK Memorial, Victory Park, American Airlines Center, Pioneer Plaza, City Hall, Thanks-Giving Square and much more! We have tours that accommodate everyone's interest, ranging from our Historical, Fun Facts, and Sightseeing Tours. It's truely an activity your whole family or the whole office can enjoy! 
",5 of 5 stars,"
My husband took me on this Segway tour with Cece. She gave us confidence and good instruction on riding the Segway. What fun and so easy to learn. I think you can learn to ride in 15 minutes. From there you seem to learn to move with it. The tour was awesome! We covered more of downtown Dallas in an...


More 


"
NancyMays,Dallas,Texas,,,"['austin', ' tx', 'dallas', ' tx', 'breckenridge', ' tx', 'galveston', ' tx', 'la fortuna de san carlos', 'mckinney', ' tx', 'santa fe', ' nm', 'scurry', ' tx', 'terrell', ' tx']","[' usa', ' costa rica']",[],"Hiking Yoga Dallas, Dallas",,,5 of 5 stars,"
Living Social & Groupon are great ways to try something out on the cheap. I'm a big fan of cardio workouts and have avoided yoga because of my ridiculously tight muscles, but decided to try this combo workout just for fun. I absolutely loved the whole experience & would highly recommend it to anyone, regardless of your flexibility level! Natalie...


More 


"
scales18,Dallas,Texas,,,"['chicago', ' il', 'fredericksburg', ' tx', 'dallas', ' tx', 'flower mound', ' tx', 'fort worth', ' tx', 'princeton', ' nj', 'amsterdam', 'austin', ' tx', 'denver', ' co', 'lewisville', ' tx', 'vancouver', ' british columbia', 'atlantic city', ' nj']","[' usa', ' the netherlands', ' canada']",[],"Peticolas Brewing Company, Dallas",,,5 of 5 stars,"
Visited during one of the bi-monthly tours and had so much fun. Live music, food trucks, and all kinds of games to play that include, foosball, air hockey, ping pong (all located on the 2nd floor). A ""tour"" includes a souvenir pint glass and 3 full size samples for $10. A great value when you consider a pint at the...


More 


"
MJCWRIGHT,PORTLAND OREGON,PORTLAND OREGON,,,"['haleiwa', ' hi', 'portland', ' or', 'fort worth', ' tx', 'cabo san lucas', 'dallas', ' tx', 'oklahoma city', ' ok']","[' usa', ' mexico']",[],"Segway Nation Dallas, Dallas", Segway Tours,"

Owner description Segway Nation offers 6 exciting segway tours daily. Our tours visit many of downtown Dallas's historic sites including the famous Dealey Plaza, JFK Memorial, Victory Park, American Airlines Center, Pioneer Plaza, City Hall, Thanks-Giving Square and much more! We have tours that accommodate everyone's interest, ranging from our Historical, Fun Facts, and Sightseeing Tours. It's truely an activity your whole family or the whole office can enjoy! 
",5 of 5 stars,"
Went to Texas to pick up my kid from Air Force graduation and arranged a Segway Tour thru Nation. The wife and I had done a tour of Portland Oregon and even though we live here we did learn things about our own city. So it was a great way to to see the downtown area and learn some history....


More 


"
oralallen82,Little Elm,Texas,,,"['dallas', ' tx']",[' usa'],[],"Segway Nation Dallas, Dallas", Segway Tours,"

Owner description Segway Nation offers 6 exciting segway tours daily. Our tours visit many of downtown Dallas's historic sites including the famous Dealey Plaza, JFK Memorial, Victory Park, American Airlines Center, Pioneer Plaza, City Hall, Thanks-Giving Square and much more! We have tours that accommodate everyone's interest, ranging from our Historical, Fun Facts, and Sightseeing Tours. It's truely an activity your whole family or the whole office can enjoy! 
",5 of 5 stars,"
I have lived in Dallas for over 6 years and never did 1 of these tours. My friend came in from New York and I decided to do a tour. Ce Ce is an awesome tour guide she made the Fun Run Tour interesting and educational. Anytime you are in Dallas and book a tour with Segway Nation and as...


More 


"
TexShelli,Dallas,Dallas,,,"['los angeles', ' ca', 'rochester', ' mn', 'saipan', 'koror', 'sydney', 'tumon', 'garapan', 'dallas', ' tx', 'tamuning', 'chicago', ' il', 'kuta', 'louisville', ' ky']","[' usa', ' mariana islands', ' palau', ' australia', ' indonesia']",[],"Hiking Yoga Dallas, Dallas",,,3 of 5 stars,"
I did this on Saturday and got in a nice brisk walk through Reverchon Park, Katy Trail and saw parts of Turtle Creek that I'd never seen before. The weather was perfect, there was dew on the grass and we did yoga poses in shaded areas with the sun peeking in over us through tree branches. The hike meanders through...


More 


"
