name,memberCity,memberCounry,MemberGender,memberAge,CitiesVisited,Countriesvisited,memberDescription,Activitiy,Type,ownerdesc,rating,review
Penrath,Spokane,Washington,,,"['yokosuka', 'minato', 'singapore', 'ulaanbaatar', 'rayong', 'taipei', 'apia', 'bangkok', 'spokane', ' wa']","[' japan', ' singapore', ' mongolia', ' thailand', ' taiwan', ' samoa', ' usa']",[],"Burlesque Tokyo, Minato", 1-2 hours,"

Recommended length of visit: 1-2 hours 
",4 of 5 stars,"
Quick note, this Business is on the 7th floor..not the 4th.
As the only Westener in the place, all eyes were on me. A comfotable go-go style bar with 95% Japnese clientele. Wear a blazer and button down (or a polo with a blazer) and you will fit right in.
Friendly staff who will guide you to a seat based...


More 


"
Greg2003,Jakarta,Indonesia, male , 35-49 ,"['nusa dua', 'sydney', 'singapore', 'chiyoda', 'aviemore', 'berlin', 'edinburgh', 'bowness-on-windermere', 'glasgow', 'inverness', 'malang', 'prague']","[' indonesia', ' australia', ' singapore', ' japan', ' uk', ' germany', ' czech republic']","[""A frequent international traveller, both with business and my family. We've lived in Scotland, Indonesia, Malaysia and come from Australia so know those regions very well.\nI don't tend to review many poor places. I don't tend to stay at many to start with thanks to research, Tripadvisor etc and I normally only post reviews if they are good, or if its clear they might suit someone else nicely, even if not me.\nIf they're terrible then I would write up a warning definitely. ""]","Sky Bus Tokyo, Chiyoda", Bus Tours,"
",4 of 5 stars,"
We used the bus to see more of the city on a lovely clear day. Good routes and we used the hop on hop of service to see more of the sights. Would be excellent in summer but not quite frequent enough during the off season.
Doesn't let you sit downstairs so probably not great on wet days.
"
Dori3,Tel Aviv,Israel,,,"['tel aviv', 'cordoba', 'okayama', 'chiyoda', 'fontanellato', 'milan', 'osaka', 'shibuya', 'valencia']","[' israel', ' spain', ' japan', ' italy']",[],"Cat cafe Hapineko, Shibuya",,"
",1 of 5 stars,"
We are cat admirers, yet, the place got us really dipressed. The host is rude and aggressive, we keep hearing what not to do, not a single wellcome smile, the cats seem ignorant and one of the guests has mistakenly touched a marked cat (marked cats should not be touched...?) that she was not supposed to, that created a serious...


More 


"
134KAZ,OSAKA,OSAKA, male , 35-49 ,"['las vegas', ' nv', 'beverly hills', ' ca', 'shinjuku', 'ko samui', 'paris', 'chuo', 'minato', 'chiyoda', 'naha', 'hong kong', 'shirahama-cho']","[' usa', ' japan', ' thailand', ' france', 'chaweng', ' china']",[],"Chi Spa, Chiyoda",,,5 of 5 stars,
AcpCapital,Macau,China,,,"['chiyoda', 'lamai beach']","[' japan', ' thailand']",[],"Spa The Peninsula, Chiyoda", Spas,"
",1 of 5 stars,"
I am currently staying in the Peninsula Tokyo for 1-week of work related activity. I decided to decompress at the Spa yesterday. Before I used the steam room I wanted to take a look at the facilities. I was denied entrance under the premise that taking a tour was not possible due to other guests using the facilities. Doesn't make...


More 


"
snufn,tokyo,tokyo, male , 35-49 ,['meguro'],[' japan'],[],"Takabannoyu, Meguro",,,1 of 5 stars,
MizuhoK,Hino,Japan, female , 35-49 ,"['bagan', 'brisbane', 'tachikawa', 'granada', 'chiyoda', 'minato', 'yangon (rangoon)', 'fukuoka', 'hino', 'karuizawa-machi', 'kobe', 'nikko']","[' myanmar', ' australia', ' japan', ' spain']",[],"Tsuru no Yu, Setagaya",,,3 of 5 stars,
7177_elra,Manila,Philippines, male , 35-49 ,"['manila', 'boracay', 'hong kong', 'urayasu', 'nagoya', 'seoul', 'singapore', 'osaka', 'sentosa island', 'chiyoda', 'goseong-gun']","[' philippines', ' china', ' japan', ' south korea', ' singapore', 'batangas province']","[""I'm a baker, barista and I'm running my own coffee shop here in Manila. My wife and I likes to travel. We want to visit countries and discover their cultures. The most loved place we've visited is Japan. ""]","Sky Bus Tokyo, Chiyoda", Bus Tours,"
",3 of 5 stars,"
The price for this tour routes was a little bit expensive.1day pass adult 2,500,child  1,200, 2day pass adult 3,500, child 1,700. The staff are friendly but the routes are lacking. For example at Roppongi -Tokyo Tower course there's only 4 places to pass thru. At Asakusa -Tokyo skytree course they only have 5 routes and at the Odaiba course...


More 


"
,,,,,[],[],[],"Kishi Memorial Sports Building, Shibuya",,,2 of 5 stars,
belleretraite,Montreal,Canada, male , 50-64 ,"['barcelona', 'istanbul', 'singapore', 'paris', 'ubud', 'cuenca', 'dubai', 'montreal', ' quebec', 'wurzburg', 'seattle', ' wa', 'brasov', 'kotor']","[' spain', ' turkey', ' singapore', ' france', ' indonesia', ' ecuador', ' united arab emirates', ' canada', ' germany', ' usa', ' romania', ' montenegro']","['Happily married and retired, father of 3 and granddfather of 4 .\nLoves all types of travel, from cruising to overland ,traveling alone or with a group ! ']","Sky Bus Tokyo, Chiyoda", Bus Tours,"
",3 of 5 stars,"
We had mixed feelings after taking all three routes including the Odaiba portion that we did twice and spending close to six hours on the different buses
The pros : 1) it is not very expensive ( $25) comparing to similar tours offered in other big cities in the world ( average $32) and less expensive than the HATO tours...


More 


"
