name,memberCity,memberCounry,MemberGender,memberAge,CitiesVisited,memberDescription,Activitiy,Type,ownerdesc,rating,review
TrueTaurusGuy,Boston,MA, male , 50-64 ,"London, UK,Paris, France,New York City, NY, USA,Sedona, AZ, USA,Orlando, FL, USA,Rome, Italy,Siesta Key, FL, USA,Hilton Head, SC, USA,Sarasota, FL, USA,Washington DC, DC, USA,Amsterdam, The Netherlands,Boston, MA, USA,",[],"Zen Therapeutic Massage & Bodywork, Boston",,,5 of 5 stars,"
I've been a follower of Andrew Jurdan, owner of Zen Therapeutic, for many years and he has never failed to deliver a great and healing massage experience. As a highly qualified massage therapist and educator, he brings his many years of experience to you and your body. You won't regret putting yourself in his hands...quite literally!
"
jrhmdtraumUsa,usa,usa,,,"Kingsport, TN, USA,Hilton Head, SC, USA,Asheville, NC, USA,Boston, MA, USA,Gothenburg, Sweden,Grand Case, St Maarten-St Martin,Harryda, Sweden,Marigot, St Maarten-St Martin,Miami Beach, FL, USA,Terres Basses, St Maarten-St Martin,Tucson, AZ, USA,Washington DC, DC, USA,",[],"Nami Spa, Boston",,"Nami Spa is a full-service Japanese inspired spa and salon in Boston's ""Hip and Historic"" South End. The spa is located across from the Boston Ballet School near Tremont Street's famous restaurant row. Specializing in all-natural facials for men and women as well as couples spa days.",,"
1. Booked over phone and given one price for firm massage (without stretching). On check out charged more
2. Did not do upper chest or lateral gluteals
3, Asked deep and got soft
If you are muscular and like firm, font go. - if you like soft relaxing, maybe ok (she tells you no talking)
4, Would never go back
"
This_isn't_SanDiego,Mansfield Center,Connecticut,,,"Norwich, CT, USA,Boston, MA, USA,New York City, NY, USA,Amsterdam, The Netherlands,Anaheim, CA, USA,Atlanta, GA, USA,Austin, TX, USA,Baltimore, MD, USA,Bangkok, Thailand,Barcelona, Spain,Beijing, China,Berlin, Germany,",[],"Emerge, Boston",,,5 of 5 stars,"
My husband and I were visiting Boston just for the day as an anniversary present and I wanted to find a real 'day spa' where we would both be comfortable (he's not a typical 'spa' guy) - but not overpriced. I found Emerge by reading Boston Magazine online, it was mentioned in an article about spas on Newbury St.
The...


More 


"
SamSouthPark,CHARLOTTE,CHARLOTTE,,,"Asheville, NC, USA,Boston, MA, USA,Charlotte, NC, USA,Roswell, GA, USA,",[],"Big Dig Boston Group Tour, Boston",,,,"
It was very interesting to see and hear how the city dealth with such a tremendous improvement program to its intercity highway system. The complexity and costs were staggering! And, the presentation (talks and facilities) were very enjoyable even in the winter!
"
roaminggypsy13,UK,UK,,,"Corralejo, Spain,Boston, MA, USA,London, UK,Albuquerque, NM, USA,Amsterdam, The Netherlands,Atlanta, GA, USA,Austin, TX, USA,Barcelona, Spain,Birmingham, UK,Brussels, Belgium,Cancun, Mexico,Chicago, IL, USA,",[],"G Spa, Boston",,,,"
Went here for a friends bachlorette party. They were wonderful, accommodating and the treatments were fantastic. A little pricey but worth it!
"
Kslfromboston,Boston,Massachusetts, female , 35-49 ,"Boston, MA, USA,Orlando, FL, USA,Cambridge, MA, USA,Hershey, PA, USA,Salem, MA, USA,Uncasville, CT, USA,Braintree, MA, USA,Brookline, MA, USA,Quincy, MA, USA,Concord, MA, USA,Dedham, MA, USA,Providence, RI, USA,",[],"Feithe og, Boston",,,,"
Got a gift certificate to FO so I didn't even look @ the value. One hour massage lasted 45 min. Last time I checked, that wasn't 60 min! The hot rocks were the best part:) love it. But a hot shower would've been just as good. I wish I left relaxed. Instead, I left in pain, needing Motrin, a hot...


More 


"
mousebooks,Brookline,Massachusetts,,,"Newport, RI, USA,Manchester, VT, USA,Williamstown, MA, USA,New York City, NY, USA,Seattle, WA, USA,Sleepy Hollow, NY, USA,Bernardston, MA, USA,Boston, MA, USA,Dorset, VT, USA,Englewood, NJ, USA,Great Barrington, MA, USA,Lenox, MA, USA,",[],"Emerge, Boston",,,5 of 5 stars,"
Facials at Emerge simply cannot be beat! The products they use are excellent, and the aesthiticians are knowledgeable, well-trained, and caring. Each treatment is tailored to your skin's needs, and comes with a hand and foot treatment, so you leave feeling brand-new from top to toe. When you need extra-special care, Emerge is the place to go.
"
jayalakshmi,vijayawada,vijayawada, female , 25-34 ,"Boston, MA, USA,Kovalam, India,Rameswaram, India,",[],"Giuliano, the Spa for Beauty and Wellness, Boston",,,5 of 5 stars,"
No matter where I go I'm always looking for a good spa. So I was happy to find a little gem called Giuliano, the Spa for Beauty and Wellness
The radiant reflection of total well-being and balance of body and spirit that exists within every person. The balm of natural, pure products, treatments by caring professionals, and relaxation in elegant...


More 


"
Jleibo,Woodbridge,Connecticut,,,"Boston, MA, USA,Shanghai, China,Isla de Vieques, Puerto Rico,Philadelphia, PA, USA,Woodbridge, CT, USA,Miami, FL, USA,Siem Reap, Cambodia,Albuquerque, NM, USA,New York City, NY, USA,Cambridge, MA, USA,New Haven, CT, USA,Chiang Mai, Thailand,",[],"Bella Sante Day Spa Med Spa, Boston"," Spas
","Our Day Spa is the Winner of the Most Best of Boston Awards! We are a complete day spa and provide Swedish Massage, Deep Tissue Massage, Prenatal Massage, Sports Massage, Hot Stone Massage, Therapeutic Massage, Personalized Facials, Anti-Aging Facials, Antioxidant Facials, Nails, Spa Manicure, Spa Pedicure, French Nails, Pregnancy Pedicure, Beautiful Gift Cards, Instant Personalized Gift Certificate, Hair Removal, Waxing, Bikini, Brazilian Bikini, LA Bikini, Brow Shaping, Skin Care, Body Bronzing, Resurfacing Peels, Personalized Body Treatments.Come see why the press and the public both agree that Bella Sante Day Spa Med Spa is the best in Boston.",5 of 5 stars,"
My wife and I have been to Bella Sante a few times. Each time they are professional and make you feel valued. It is a great day spa on Newbury Street in Boston. We have gotten massages each time and they were great. I highly recommend this spa when in Boston.
"
rkissel,Stuttgart,Germany, female , 35-49 ,"Stuttgart, Germany,Gross-Umstadt, Germany,Munich, Germany,York, UK,Frankfurt, Germany,Rio de Janeiro, Brazil,Ludwigsburg, Germany,Dresden, Germany,Fussen, Germany,Bad Worishofen, Germany,Boston, MA, USA,Darmstadt, Germany,",[],"Boston Heritage Tours, Inc., Boston",,"This exciting 3 hour guided walking tour is like a time travel expedition that journeys through the layers of history, heritage and culture of Boston's North End. With a local guide, this is a fun way to stroll through the most historic and romantic village in America, Boston's ""Little Italy."" We visit restaurants, pastry shops, an art studio, an Italian specialty food store, a wine shop and taste imported Italian gelato.",5 of 5 stars,
