name,memberCity,memberCounry,MemberGender,memberAge,CitiesVisited,memberDescription,Activitiy,Type,ownerdesc,rating,review
seti1,Texas,Texas, Female ,,"Dallas, TX, USA,Panajachel, Guatemala,Richardson, TX, USA,",[],"Central Market, Dallas"," Shops
",,5 of 5 stars,"
CM always has the best: produce, deli, bakery, cheese, wines, etc. The take away meals are fabulous - and just perfect for those of us who want to eat gourmet without the fuss and bother. But when one does want to cook, this place is the place to get fresh ingredients.
"
nsucollegekid,Shreveport,Louisiana,,,"Dallas, TX, USA,Orange Beach, AL, USA,Addison, TX, USA,Daphne, AL, USA,Orlando, FL, USA,",[],"Pete's Dueling Piano Bar, Dallas",,,,"
Drove 3 hours to come here and then they were closed for a private party. Staff was rude when asked when it would be over. The sign on the door said it would be only to a certain time but management would not honor it. Very disappointed. Management only cares about where they can bring in the $$$
"
TexShelli,Dallas,Dallas,,,"Los Angeles, CA, USA,Rochester, MN, USA,Saipan, Mariana Islands,Koror, Palau,Sydney, Australia,Tumon, Mariana Islands,Garapan, Mariana Islands,Dallas, TX, USA,Tamuning, Mariana Islands,Chicago, IL, USA,Kuta, Indonesia,Louisville, KY, USA,",[],"Hiking Yoga Dallas, Dallas",,"A perfect Dallas adventure: see the sights, hike along the Katy Trail, breathe in fresh air, get fitter, make friends! Hiking yoga may be positively addictive - what other class gets you outside to explore the hills and hidden nooks and overlooks in the company of regulars and adventurous tourists, guided by a knowledgeable, motivating, unpretentious and fun urban yogi.",5 of 5 stars,"
I did this on Saturday and got in a nice brisk walk through Reverchon Park, Katy Trail and saw parts of Turtle Creek that I'd never seen before. The weather was perfect, there was dew on the grass and we did yoga poses in shaded areas with the sun peeking in over us through tree branches. The hike meanders through...


More 


"
mmlucia3,Dallas,Texas,,,"Dallas, TX, USA,",[],"Big City Bikerafts, Dallas",,"Big City Bikerafts is the first and only business in the Dallas/Fort Worth area to rent bikeraft packages. We love mountain biking and rafting, and got hooked on bikerafting after our first trip down the Trinity River. We've designed our packages to give you everything you need for a successful bikerafting adventure with your friends or family.",5 of 5 stars,"
Hats off to the boys of Big City Bikerafts... we took a short trip up from Dallas to Beavers Bend for a little adventure out to and down the Lower Fork River. It was a cold and rainy night but we fared well having an awesome time biking down to the river and on the float. The rafts and equipment...


More 


"
NancyMays,Dallas,Texas,,,"Austin, TX, USA,Dallas, TX, USA,Breckenridge, TX, USA,Galveston, TX, USA,La Fortuna de San Carlos, Costa Rica,McKinney, TX, USA,Santa Fe, NM, USA,Scurry, TX, USA,Terrell, TX, USA,",[],"Hiking Yoga Dallas, Dallas",,"A perfect Dallas adventure: see the sights, hike along the Katy Trail, breathe in fresh air, get fitter, make friends! Hiking yoga may be positively addictive - what other class gets you outside to explore the hills and hidden nooks and overlooks in the company of regulars and adventurous tourists, guided by a knowledgeable, motivating, unpretentious and fun urban yogi.",5 of 5 stars,"
Living Social & Groupon are great ways to try something out on the cheap. I'm a big fan of cardio workouts and have avoided yoga because of my ridiculously tight muscles, but decided to try this combo workout just for fun. I absolutely loved the whole experience & would highly recommend it to anyone, regardless of your flexibility level! Natalie...


More 


"
Kublakate,Denton,Texas, female , 25-34 ,"Austin, TX, USA,Montreal, Quebec, Canada,Dallas, TX, USA,Quebec City, Quebec, Canada,Sainte Catherine de la Jacques Cartier, Quebec, Canada,",[],"Pete's Dueling Piano Bar, Dallas",,,5 of 5 stars,"
My husband and I had so much fun here. When I first heard about Pete's dueling piano bar concept, I wasn't confident I would like it. I typically dislike live music as I usually find it distracting and annoying. This is TOTALLY different! It's more like an interactive show and party. Everybody in the audience joins in, even the shy...


More 


"
carollc45,Orlando,Florida, female , 50-64 ,"New Orleans, LA, USA,Houston, TX, USA,Orlando, FL, USA,Lawton, OK, USA,New York City, NY, USA,Brooklyn, NY, USA,Atlanta, GA, USA,Cocoa Beach, FL, USA,Geneva on the Lake, OH, USA,Oklahoma City, OK, USA,Daytona Beach, FL, USA,Puerto Vallarta, Mexico,",[],"Central Market, Dallas"," Shops
",,5 of 5 stars,"
Loved this store while visiting Dallas. Our hotel was just around the corner. Had a huge selection of everything. We went and got dinner there and took it back to our hotel room. Very reasonable. 2 dinners for 11.99 and fresh. We always headed for the sushi bar where they had delicious samples so we bought that also. They had...


More 


"
chamagnegangster,Dallas,Texas,,,"Dallas, TX, USA,Austin, TX, USA,New Orleans, LA, USA,Tucson, AZ, USA,",[],"Central Market, Dallas"," Shops
",,5 of 5 stars,"
I've been going 2 some other big box stores because they tout the prices being the lowest but if U buy 6 or more U get 10% off. Those other stores only do it on specific wines. Also the knowledge of the wine people there was better than some places. Also they carry my favorite olive oil Frantoia. Otherwise I...


More 


"
Dfwboi,Dallas,Texas,Male ,,"Dallas, TX, USA,Santa Fe, NM, USA,Fort Lauderdale, FL, USA,Napa, CA, USA,New Orleans, LA, USA,Zurich, Switzerland,Florence, Italy,Incline Village, NV, USA,Las Vegas, NV, USA,London, UK,Paris, France,West Hollywood, CA, USA,",[],"Central Market, Dallas"," Shops
",,5 of 5 stars,"
Great place for different items. Love the house made tortillas. They carry specific items that you can't find anywhere else. The biggest thing I would like to see is more organic selections. Otherwise a fun grocery shopping experience.
"
bnbyoung,Grapevine,Texas, Female ,,"Grapevine, TX, USA,Tortola, British Virgin Islands,Dallas, TX, USA,Alexandria, VA, USA,Irving, TX, USA,Orlando, FL, USA,Cruz Bay, U.S. Virgin Islands,Fort Myers, FL, USA,Fort Worth, TX, USA,Jamaica, NY, USA,San Carlos, CA, USA,North Fort Myers, FL, USA,",[],"Pure Spa and Salon, Dallas"," Spas
","Pure Spa and Salon is an upscale, full service spa and salon offering hair, nail, massage and skin care services for men and women. Were located on Mockingbird Lane in the Mockingbird Station district. Our professional, qualified staff offers modern and sophisticated services in our first-class facility. We are focused on providing you with superior customer service in a relaxed and welcoming environment. Were committed to keep you to looking and feeling your absolute best!",,"
First massage I have ever stopped. Therapist by far worst ive ever experienced. First...felt sorry for her then just got so furious the massage turned into a more stressful experience. Waste of money..even though using travelzoo deal...still very much ripoff. Massage bed seets wrinkled I felt they were dirty. Room was total skank the fan blowing the smell of old...


More 


"
