name,memberCity,memberCounry,MemberGender,memberAge,CitiesVisited,Countriesvisited,memberDescription,Activitiy,Type,ownerdesc,rating,review
NancyMays,Dallas,Texas,,,"['austin', ' tx', 'dallas', ' tx', 'breckenridge', ' tx', 'galveston', ' tx', 'la fortuna de san carlos', 'mckinney', ' tx', 'santa fe', ' nm', 'scurry', ' tx', 'terrell', ' tx']","[' usa', ' costa rica']",[],"Hiking Yoga Dallas, Dallas",,,5 of 5 stars,"
Living Social & Groupon are great ways to try something out on the cheap. I'm a big fan of cardio workouts and have avoided yoga because of my ridiculously tight muscles, but decided to try this combo workout just for fun. I absolutely loved the whole experience & would highly recommend it to anyone, regardless of your flexibility level! Natalie...


More 


"
TexShelli,Dallas,Dallas,,,"['los angeles', ' ca', 'rochester', ' mn', 'saipan', 'koror', 'sydney', 'tumon', 'garapan', 'dallas', ' tx', 'tamuning', 'chicago', ' il', 'kuta', 'louisville', ' ky']","[' usa', ' mariana islands', ' palau', ' australia', ' indonesia']",[],"Hiking Yoga Dallas, Dallas",,,3 of 5 stars,"
I did this on Saturday and got in a nice brisk walk through Reverchon Park, Katy Trail and saw parts of Turtle Creek that I'd never seen before. The weather was perfect, there was dew on the grass and we did yoga poses in shaded areas with the sun peeking in over us through tree branches. The hike meanders through...


More 


"
tiffypoo,Charlotte,NC,,,"['dallas', ' tx']",[' usa'],[],"Susan Taylor Tours, Dallas",,,5 of 5 stars,"
My husband and I recently spent a few days in Dallas when he had to attend a business meeting. One of the meeting planners had arranged for the employees and their spouses to go on a culinary tour. Most of us expected Tex-Mex and barbeque, but it was a real eye-opener!
The husband & wife tour guides took us to...


More 


"
crani3852,Dallas,Texas,,,"['las vegas', ' nv', 'dallas', ' tx', 'san antonio', ' tx', 'lewisville', ' tx', 'new orleans', ' la', 'addison', ' tx', 'arlington', ' tx', 'atlanta', ' ga', 'barcelona', 'cancun', 'durant', ' ok', 'frisco', ' tx']","[' usa', ' spain', ' mexico']",[],"Grand Spa, Dallas",,,4 of 5 stars,"
I don't usually get facials when I go to a spa, I'm usually all about the massage BUT Tania at Grand Spa is the best! My husband and I had an appt to do facials, massages and pedicures and we both enjoyed every single minute of it. In regards to the facial Tania was very knowledgeable and recommended great products...


More 


"
mmlucia3,Dallas,Texas,,,"['dallas', ' tx']",[' usa'],[],"Big City Bikerafts, Dallas",,,5 of 5 stars,"
Hats off to the boys of Big City Bikerafts... we took a short trip up from Dallas to Beavers Bend for a little adventure out to and down the Lower Fork River. It was a cold and rainy night but we fared well having an awesome time biking down to the river and on the float. The rafts and equipment...


More 


"
mlzoiss,Carmel,Indiana, female , 35-49 ,"['kissimmee', ' fl', 'nashville', ' in', 'saint francisville', ' la', 'white castle', ' la', 'dallas', ' tx', 'fort worth', ' tx', 'franklin', ' tn', 'grapevine', ' tx', 'jamestown', ' ca', 'louisville', ' ky', 'new york city', ' ny', 'port sulphur', ' la']",[' usa'],[],"Ghost Tours of Dallas, Dallas",,,2 of 5 stars,"
We've been on dozens of ghost tours all over the country and this is the first where most of the tour didn't consist of any ""ghost stories"" sightings, hauntings etc. There was a story about the Ghost Adventures crew stealing one of their stories at a hotel, but during the entire walking part of the tour that was the only...


More 


"
scales18,Dallas,Texas,,,"['chicago', ' il', 'fredericksburg', ' tx', 'dallas', ' tx', 'flower mound', ' tx', 'fort worth', ' tx', 'princeton', ' nj', 'amsterdam', 'austin', ' tx', 'denver', ' co', 'lewisville', ' tx', 'vancouver', ' british columbia', 'atlantic city', ' nj']","[' usa', ' the netherlands', ' canada']",[],"Peticolas Brewing Company, Dallas",,,5 of 5 stars,"
Visited during one of the bi-monthly tours and had so much fun. Live music, food trucks, and all kinds of games to play that include, foosball, air hockey, ping pong (all located on the 2nd floor). A ""tour"" includes a souvenir pint glass and 3 full size samples for $10. A great value when you consider a pint at the...


More 


"
larosenoirechile,Santiago,Chile, female , 25-34 ,"['punta del este', 'san carlos de bariloche', 'foz do iguacu', 'vina del mar', 'dallas', ' tx', 'buenos aires', 'montevideo', 'santiago', 'puerto iguazu', 'iguazu national park', 'istanbul', 'punta cana']","[' uruguay', ' argentina', ' brazil', ' chile', ' usa', ' turkey', ' dominican republic']",[],"Deep Ellum Center for the Arts, Dallas",,,5 of 5 stars,
VeronicaTorres,Dallas,Texas, Female ,,"['dallas', ' tx', 'austin', ' tx', 'barbados', 'houston', ' tx', 'washington dc', ' dc', 'canton', ' tx', 'antibes', 'antwerp', 'baltimore', ' md', 'baton rouge', ' la', 'beeville', ' tx', 'boston', ' ma']","[' usa', ' caribbean', ' france', ' belgium']",['I love life! I love travel and I love good energy! Im easy laid back and a yoga junkie. '],"V12 Yoga, Dallas",,,5 of 5 stars,"
Was excited to see and be apart of a new Yoga Studio in Dallas. The Dallas Farmers Market invited us to join the fun with an organic new Power Yoga Flow. Dallas didnt have a downtown Yoga Studio that was seperate from a gym or hotel. V12 Yoga offers that. Free Parking, great instructors with beginner classes.
Definitly a cool...


More 


"
zueHPqueen,,,,,"['dallas', ' tx']",[' usa'],[],"Spirit Expeditions, Dallas",,,5 of 5 stars,"
The weather did not affect at all the entertaining night that was ahead. We did not know what to expect, but we ended up amazingly pleased. I invited my parents and teen sister, who hardly ever takes her eyes off her cell phone, paid attention and suggested we visited the Holocaust museum the following day. We did. Thanks toChris,
"
