name,memberCity,memberCounry,MemberGender,memberAge,CitiesVisited,Countriesvisited,memberDescription,Activitiy,Type,ownerdesc,rating,review
scubalassy,essex,essex, female , 25-34 ,"['sarasota', ' fl', 'orlando', ' fl', 'las vegas', ' nv', 'camber', 'edinburgh', 'london', 'oxford', 'sharm el sheikh', 'tampa', ' fl', 'athens', 'bangkok', 'barcelona']","[' usa', ' uk', ' egypt', ' greece', ' thailand', ' spain']",[],"The Bannatyne Spa, London",N/A,,1 of 5 stars,"My very thoughtful mother bought me a ""relaxing spa day for two"" gift for my baby shower earlier this year. Never having been to a spa my mum (who probably paid far too much) thought it would be a lovely way to relax after the birth of my son.
We visited the Chafford Hundred ""spa"" yesterday. I wasn't expecting much and I still managed to be bitterly disappointed by the whole experience.
Where to start......
We arrived at 10am as we were booked in for early treatments. The staff were very pleasant on arrival. We paid the extra money for our massage upgrades and 3 each for robes which I thought is a blooming cheek given you would expect robes for a spa day. We were then quickly shown where to change as we had early appointments. We were booked in for extended full body massages which I have to say were wonderful. The treatment rooms were very relaxing and we really enjoyed our massages. The ladies who did our treatments were very nice and were about the only compliment I can pay to this venue.
We then went on to have a manicure (mum) and a pedicure (myself). I was expecting them to be short treatments but to say they were rushed was an understatement! It was a quick flick with a nail file (no cuticle work or exfoliation) a colour was then put on. Can't say that you could call them manicures or pedicures. There we went on to have a facial which to be fair we're very nice.
We then were told to enjoy the relaxation room. The relaxation room is 6 heated beds! It had a warm water in a vase that you can serve yourself in a very attractive costa coffee paper cup. Ummmmm yep thats the total delux spa experience that you get at this venue. More than 6 people and your all going to be fighting for a relax in this room that is so dim that you can't possibly read a book.
No problem I thought. I'll grab my kindle and go for a relax around by the pool and perhaps have a sauna and steam. You then have to haul yourself through reception to get back to the changing rooms to use said facilities. So we went through to the pool for a relax....Fat chance! This would have involved us laying on the cold tiled floor as this Delux day of pamper and relaxation venue has no loungers! So no chance of a lay by the pool then.
We then thought maybe we could have a jacuzzi but alas it was not only filled to the brim with people but apparently having a major problem with foam scum. I can't comment on the condition of the steam and sauna rooms as in order to enjoy these would have involved giving other people lap dances. Thus you see the problem with this gym trying to pass its self off as a spa.... It's full of paying members also trying to enjoy the limited facilities. To try and cram in extra guests is just a money making scheme to cream as much money in from a venue designed as a.... Gym! It's not a spa. If I offer to paint people nails and let them have a swim in my bath does that make my house a spa?
Now I hope that managers read this review and actually start to take notice of what we are all saying about these ""spa days"" I just want to scream trade descriptions. I always try to see the best in a situation and if people read my other reviews I rarely moan about places I have visited. Far from telling people to visit a bannatyne I feel compelled to warn them off! Needless to say we left after our treatments never to return. Poor show Bannatyne!"
rakstar2014,London,United Kingdom, female , 25-34 ,"['london', 'paris', 'barcelona', 'berlin', 'dublin', 'las vegas', ' nv', 'lisbon', 'los angeles', ' ca', 'manchester', 'milan', 'new delhi', 'prague']","[' uk', ' france', ' spain', ' germany', ' ireland', ' usa', ' portugal', ' italy', ' india', ' czech republic']",[],"The Bannatyne Spa, London",N/A,,1 of 5 stars,"Having been to the Fairfield Bannatyne spa which was a decent spa experience, I was expecting a similar experience at the Chafford Hundred. But this spa was nothing like the Fairfield one. You are greeted on entry by the receptionist and asked to fill out forms which ask the same questions as those when you booked! You then wait around for a while till someone realises you are ready and would like to start your experience...You are then passed on to another member of staff who will give you robes and towels which you have to pay an additional fee (3) and are then shown around the facilities. I had bought 2 vouchers as there were three of us. 1 voucher as a 2 for 1 and the other was a single entry spa experience. All three had a 30 min spa experience included. But turns out that they were all different....the team weren't flexible enough to make them the same even if they were of equal value. They were also meant to be 30 min experiences...they started late and finished early. Very disappointing!
The cafe also messed up our orders which added to the pain.
The spa facilities are very poor. The sauna is not a sauna...it does not heat up at all and there is water everywhere.
The Steam room has a dirty floor and the indoor jacuzzi has so many chemicals in it your eyes just sting the whole time you are in there...We ended up using the outdoor jacuzzi for most of the time...But even that was filthy.
I will not be going to a bannatyne again after this experience unless it was to the Fairfield venue"
Sheena009,,,,,['london'],[' uk'],[],"The Bannatyne Spa, London",N/A,,1 of 5 stars,"1) was meant to have 55 min massage got 35 mins

2) was not even offered a drink despite waiting for it to start for 30. Mins

3) took over 40 mins for them to take us to spa whilst we sat in a hairdressers in our dressing gowns!!

4) came out spa and staff arguing in reception.

Wrote in to bannatyne to say how a awful it was and was accused of lying. I'm sure if they check their cameras they can tell we were telling the truth.also given I was with my husband- we were both lying apparently.

Absolute waste of money! Don't bother"
GlobalTourist66,London,London, male , 35-49 ,"['edinburgh', 'cardiff', 'london', 'weybridge', 'esher', 'guildford', 'newport', 'st. petersburg', 'kingston upon thames', 'st ives', 'bude', 'chessington']","[' uk', ' russia']",[],"The Bannatyne Spa, London",N/A,,1 of 5 stars,"its a shame you can't leave a zero or minus stars review. we were gifted a couples spa day, with treatments. what should have been a 55 minute swedish massage turned out to be a 25 minute tickle. my partners mini massage and facial was equally shocking. changing rooms looked like health risks. staff are lacklustre and hopelessly disorganised. can't believe anyone would pay to join this place."
hayles_tawny,Welling,Kent, female , 25-34 ,"['london', 'bexleyheath', 'greenhithe', 'southampton', 'dartford', 'carpaneto piacentino', 'brighton', 'bexley', 'brentwood', 'chessington', 'dublin', 'hinckley']","[' uk', ' italy', ' ireland']",[],"The Bannatyne Spa, London",N/A,,2 of 5 stars,"I had a spa day booked but due to time restraints only planned to have my treatments. No one knew this initially and I felt I was just waiting around for ages. Not really sure what I was supposed to be doing. The reception staff left me sitting before taking me on a quick tour. Felt they were white blah.

This is a tiny place but that can be perfect. The pool and jacuzzi area looked lovely but the changing rooms were freezing and plain horrible, the ones at my council run gym are better. And you need a padlock for your locker?
And I felt the staff were just a little blah.


The treatments I had were lovely, expert facial and lava shells massage. But I was due to have 115 mins of treatments and I definitely didn't have that amount. Was taken into the treatment room and was left to change for what was about like 20 mins. Mid way through my facial, the therapist left the room but not while I had the masque on which I found strange, again no explanation and was gone for ages. I then had the masque on and the therapist sat breathing over me. It didn't feel the most relaxing.

I found the booking procedure difficult as there are not many treatment rooms so lack of availability. I had initially booked for a different day which was cancelled at the last minute due to staff shortage. Considering this was not my fault, booking another appt was a nightmare and I did not find the staff to be very accommodating.

Wouldn't rush back to Westminster but would try another."
Molly_N_Mike,London,United Kingdom, Female ,,"['london', 'canterbury', 'chester', 'rio de janeiro', 'harrow', 'sorrento', 'abbots langley', 'brighton', 'buxton', 'ilha grande', 'istanbul', 'kololi']","[' uk', ' brazil', ' italy', ' turkey', ' gambia']",[],"The Bannatyne Spa, London",N/A,,1 of 5 stars,"My boyfriend and I visited the 'spa' as a birthday present. We were so disappointed by the whole experience. Feedback has been provided directly to the Spa with no response from the General Manager.

On arrival we were asked to take a seat, someone would collect us to give us a tour of the spa. Whilst we sat, waited, and watched 4 girls at reception chatting 20 minutes passed only stopped by us saying something. No apology. The waiting area is where you sit amongst all the other lesiure centre customers, shockingly they expect you to pay for a robe and slippers which is appalling and clearly just another cheap ploy to make money off you. We asked nicely if the therapists could come get us from the changing rooms as we weren't prepared to pay extra. Of course they didn't! I had to go out and find them.

The facilities are in serious need of updating. This is not a spa  its a leisure centre with some spa like facilities. The changing rooms are filthy, and there isnt anywhere to get changed out of view of everyone else. All of the tiles, lockers are chipped and the showers were awful  constantly having to push a button for water to slowly filter out. In the mens changing room the emergency sprinklers are rusted, and more importantly a tile that had cracked and fallen off the wall had been taped back on the wall.

The area around the pool was quite frankly a joke  the relaxing beds were not made up properly, the bed just thrown on the lounger with no magazines or refreshments anywhere. This is what every other spa in the country is doing so why not here? A facilities man walked all round the pool with his outdoor shoes on not bothering to cover them with the blue plastic covers available. I have never witnessed anything like it in any other spa. The jacquzi is absolutely disgusting - a thick grey line of hair all around it. How has this not been noticed and cleaned?!

There is nothing luxurious about this spa or your facilities and I strongly recommend management and staff do some mystery shopping around some other spas in London to see the difference in service. We arrived at 11.30 and left at 2.30pm which says it all."
AmyE1993,,,,,"['playa de las americas', 'london', 'salou', 'armutalan', 'tarragona']","[' spain', ' uk', ' turkey']",[],"The Bannatyne Spa, London",N/A,,3 of 5 stars,"We bought a wowcher voucher and all 4 of us girls got in for 80. As the other reviews suggest this is essentially a gym with basic spa facilities.

It was easy to access from the tube station, just a 10 minute walk away. Once inside we completed a quick survey and was told to help ourselves to complimentary tea and coffee. After we completed our health style questions we were given a very quick tour of changing rooms, pool area and treatment room. Changing rooms are a tad dated and like I have already mentioned it is essentially a gym so they are quite basic gym changing facilities. Could not complain about cleanliness of any part of the gym/spa. It was a very relaxing day, our treatments were great and the woman who gave the treatments was lovely and welcoming. The poolside has 5 loungers so you need to claim these quite quickly and it is not an adult only environment so please be aware that children will be in the pool which they were when we went. You cannot get any kind of signal apart from slightly in the reception area. You can hire a dressing gown, slippers and towel from reception for a fee of 3 and you can keep your slippers and take them home with you. To lock the lockers you should be aware you are expected to bring your own padlock however if you don't have one you can sign for one at reception. I enjoyed my day with the girls at the spa but if you are looking for total relaxation I would perhaps spend a little extra on somewhere else. Would not say the spa is as bad as these recent reviews make out though."
bex_hi,UK,UK,,,"['bahia feliz', 'bedford', 'brighton', 'carmarthen', 'london', 'sharm el sheikh', 'sunny beach']","[' spain', ' uk', ' egypt', ' bulgaria']",[],"The Bannatyne Spa, London",N/A,,2 of 5 stars,"Went to this 'day spa' with s friend having been bought a gift card. Took time to find a slot to be booked in but we got there in the end.
Reception ladies were helpful and we paid for our upgrade to add a massage to the facial and hand in our three forms, including medical information.
I thought I had paid a deposit a robe and slippers for 3 but it was nonrefundable.
We went for tea in a very soulless canteen type area. It was quite grubby and it took about 10 mins to get a tea and coffee. The lady in the kitchen was very nice but perhaps could do with some more staff in there. It was expensive - a jacket potato cost 5, as did a panini.
We went for our facials and were called in. Mine was very pleasant but it was different to my friends who had a bit of a massage thrown in as well. There seemed to be confusion over rooms, who was supposed to go where and for what. We returned for massages and asked the usual anything medical question and my friend confirmed that as she had put on the form she had had a recent op. The therapist advised she wouldn't be able to have the massage and shouldn't have had the facial either. My friend was offered a pedicure but this was actually just a quick polish. My massage ended up being just 20mins, not 30. It was an odd massage too, I think the therapist used her elbows and then I had the feeling she was on her phone during a bit of it.
This really felt like more of a leisure facility than a day spa, where the therapists seemed to be keeping to a very strict schedule."
Vicky833,London,United Kingdom,,,['london'],[' uk'],[],"The Bannatyne Spa, London",N/A,,1 of 5 stars,"
Bought the spa day for 2 voucher for my friend who was not able to redeem it at Millbank location as they are severely overbooked. Such a waist of time a money! The most unhelpful customer service team ever! Disappointed beyond words!
"
weemee3,Horsham,United Kingdom, female , 18-24 ,"['london', 'montriond', 'patong', 'worthing', 'phuket']","[' uk', ' france', ' thailand']",[],"The Bannatyne Spa, London",N/A,,1 of 5 stars,"I went to the millbank ""spa"" last Friday with my mum and brother. The trip had been bought as a christmas present and due to work commitments it took us a few months to book in so as you can imagine we were very much looking forward to it.

Upon arrival it doesn't really look like much, poorly sign posted most people end up going through the main entrance to be greeted by a grumpy receptionist of the offices above who hastily points you back downstairs. The spa itself is set in the basement of a posh office block and my initial impressions weren't great. It's dated and dull which surprised me taking into account Duncan Ballantyne proudly puts his name to it. After filling in our lengthy and intrusive questionnaire we sat in the reception area which doubles up as the relaxation room. There are no lunch facilities except in the office block upstairs (great to stroll around in whilst wearing a robe).

The steam room was out of order the day we visited. Nothing was offered as an apology, no complimentary drink or offer to return another day to use the steam room. The ladies changing room was quite frankly horrifying. Cold, dirty, old and dangerous, several plug sockets hanging off the wall around the vanity area. The pool is cramped with only 5 loungers, plus you can't relax as the banging from the steam room works are loud and irritating and builders traipse through the area constantly.

It's fair to note the facial I had was lovely but otherwise this entire day was awful, disappointing and frankly quite embarrassing. It doesn't take much to make a spa day successful, enjoyable and relaxing but the bannatyne group clearly don't care much for that in this tired old health club that is parading itself as a luxury spa.

From reading the other reviews on here we're clearly not the only people who has a bad time. let's hope bannatyne himself is business savvy enough to take note of customer feedback and reassess his mill bank branch."
