name,memberCity,memberCounry,MemberGender,memberAge,CitiesVisited,memberDescription,Activitiy,Type,ownerdesc,rating,review
SophieLouka,Montreal,Canada,,,"Montreal, Quebec, Canada,",[],"Kayak Sans Frontieres, Montreal",,"KSF is a unique nautical activity center in Montreal. Our mission is to share with you exotic areas of the city, via kayaking, surfing and stand up paddleboarding (SUP). We are located in the heart of the Lachine rapids parc in LaSalle, where urban adventure finds its meaning.Come enjoy a unique way to discover Montreal !",5 of 5 stars,
marccharbonault,Johannesburg,South Africa, male , 35-49 ,"Montreal, Quebec, Canada,Dollard-des-Ormeaux, Quebec, Canada,Johannesburg, South Africa,Laval, Quebec, Canada,Sainte Agathe des Monts, Quebec, Canada,Toronto, Ontario, Canada,Paris, France,",[],"Ideal Body Corps Ideal, Montreal",,,5 of 5 stars,"
Women always come up with extra gadgets and methods for the body, skin, etc. But this spa offers me some treatment for my feet that made them smooth. Well done
"
marccharbonault,Johannesburg,South Africa, male , 35-49 ,"Montreal, Quebec, Canada,Dollard-des-Ormeaux, Quebec, Canada,Johannesburg, South Africa,Laval, Quebec, Canada,Sainte Agathe des Monts, Quebec, Canada,Toronto, Ontario, Canada,Paris, France,",[],"Milada Salon Boutique, Montreal",,"Since its inception in 1996, the Salon Boutique Milada has kept up-to-date with the ever-changing technologies that clients have come to know and expect in their treatments.The team at Salon Boutique Milada will follow you through several sessions until you obtain the optimal results and, of course, until you are completely satisfied.",5 of 5 stars,
jessdub,Montreal,Montreal, female , 25-34 ,"Montreal, Quebec, Canada,Laval, Quebec, Canada,Saint-Eustache, Quebec, Canada,Asbury Park, NJ, USA,Mont Tremblant, Quebec, Canada,Playa del Carmen, Mexico,Sainte Agathe des Monts, Quebec, Canada,Lake George, NY, USA,Miami Beach, FL, USA,Niagara Falls, Ontario, Canada,Perce, Quebec, Canada,Pointe Claire, Quebec, Canada,",[],"Narcisse Aqua Spa & Coiffure, Montreal"," Spas
",,,"
Bought a coupon from a website. They were offering appointments in 4 months from the date i was calling. Unacceptable. The receptionnist did not want to help me out and was not receptive. Thankfully, the company refunded me for my coupon. I never went but after reading reviews, I wouldnt go.
"
Bellaperlax,Terrebonne,Canada, female , 18-24 ,"Laval, Quebec, Canada,Montreal, Quebec, Canada,Terrebonne, Quebec, Canada,Mont Tremblant, Quebec, Canada,Blainville, Quebec, Canada,Mirabel, Quebec, Canada,Morin Heights, Quebec, Canada,Piedmont, Quebec, Canada,Quebec City, Quebec, Canada,Rosemere, Quebec, Canada,Saint Michel des Saints, Quebec, Canada,Saint Sauveur des Monts, Quebec, Canada,",[],"Spa Bora Bora, Montreal"," Spas
",,,
Annne81,Montreal,Canada, Female ,,"Montreal, Quebec, Canada,Perce, Quebec, Canada,Laval, Quebec, Canada,Dorval, Quebec, Canada,Lachute, Quebec, Canada,Quebec City, Quebec, Canada,Saint Georges, Quebec, Canada,Saint Sauveur des Monts, Quebec, Canada,",[],"Spa Aurora, Montreal",,,,
hellodearyouu,montreal,montreal,,,"Montreal, Quebec, Canada,Varadero, Cuba,",[],"Centre de Sante Renaissance, Montreal"," Spas
",,5 of 5 stars,"
I bought a coupon for a 3 treatments. a 60mins of massage with exfoliation, 30mins of spa finlandais and 30mins of doctor fish or spa ionic. I red the reviews before going there and it wasn't that bad! My massage was done by a man and it wasnt that bad! He asked me often if i was ok and if...


More 


"
ziblox,Montreal,Canada,,,"Montreal, Quebec, Canada,",[],"Lucky Luc's Caleches, Montreal"," Tours
",,,"
This company is known to all for it's short Cummings but yet employees of the City of Montreal turn a blind eye to all the company owners lack of respect for rules , regulations. people and especially care for horses. I and others have offered to open a regulated stable with large ,clean stalls and have been showed the door....


More 


"
jamp51,Montreal,Canada,,,"Nice, France,La Romana, Dominican Republic,Akumal, Mexico,Bal Harbour, FL, USA,Bayahibe, Dominican Republic,Laval, Quebec, Canada,Montreal, Quebec, Canada,Naxos Town, Greece,Ottawa, Ontario, Canada,",[],"Centre de Sante Renaissance, Montreal"," Spas
",,5 of 5 stars,"
I had bought a coupon on Groupon for 3 treatments for $37.
The massage was just rubbing back and forth in the back, arms and legs. Not what I am used to get from an experienced RMT. The masseuse hardly spoke French or English.
The fish treatment was lame. Very few fish in each tank.
The last treatment, ionic I...


More 


"
paradisevacation,Montreal,Canada, female , 25-34 ,"Montreal, Quebec, Canada,New York City, NY, USA,Lisbon, Portugal,Paris, France,Madrid, Spain,Orlando, FL, USA,Beijing, China,Milles Isles, Quebec, Canada,Mont Tremblant, Quebec, Canada,St-Paulin, Quebec, Canada,Toronto, Ontario, Canada,Aix-en-Provence, France,",[],"Midtown Le Sanctuaire, Montreal",,,5 of 5 stars,"
Midtown is pricey but the value you get is unparalleled. The service is superior - you can expect frequent follow up emails from trainers to ensure you are on track and to follow up on your progress. Facilities are top notch - swimming pool, hot tubs in locker rooms, steam rooms, saunas, spa, restaurant, to name a few amenities. Midtown...


More 


"
