name,memberCity,memberCounry,MemberGender,memberAge,CitiesVisited,memberDescription,Activitiy,Type,ownerdesc,rating,review
pandabear_11,Brisbane,Australia, Female ,,"Singapore, Singapore,Siem Reap, Cambodia,Paris, France,Ho Chi Minh City, Vietnam,Karon, Thailand,Madrid, Spain,Chicago, IL, USA,Beijing, China,Amsterdam, The Netherlands,Athens, Greece,Florence, Italy,Perth, Australia,",[],"Paris Tours Guide - Private Day Tours, Paris",,,,"
I had one day in Paris, travelled 3hrs by train to get there while working in The Hague. I decided to maximise my visit and take a tour with City Discovery - Paris City Vision - bad mistake! I really should have paid heed to the feedback here!
I was picked up on time, the driver said the traffic was...


More 


"
Gabriellla_BH86,Belo Horizonte,MG, female , 25-34 ,"Belo Horizonte, Brazil,Montevideo, Uruguay,Rio de Janeiro, Brazil,Sao Paulo, Brazil,Buenos Aires, Argentina,Paris, France,Brasilia, Brazil,Colonia del Sacramento, Uruguay,Porto Seguro, Brazil,Amsterdam, The Netherlands,Angra Dos Reis, Brazil,Ilha Grande, Brazil,",[],"Flynet Europe Paris Private Tours, Paris",,"Paris Private Incoming Tours and Services - Transfers, Car With Driver, City-Tour, Versailles Castle, Eiffel Tower, Disneyland, Moulin Rouge, Lido, Seine Diner Cruises, Fontainebleau, Loire Valley, Champagne Region, Burgundy and Mont Saint Michel",,
Alanis2013,Paris,France,,,"Paris, France,",[],"Villa Saint Honore, Paris"," Spas
",,,"
The owner is unfriendly, pretty rude & inconsiderate. The service is poor, and the price is very high (around 150). I left with a really unpleasant feeling. The interior looks weird halfway between a chinese restaurant (with a big aquarium at the entrance) and cheap fish spa. Gross...
Run away from this place or they will steal your money!
"
PEDRO_OFFICIEL,Paris,Paris,Male ,,"Paris, France,Barcelona, Spain,Marrakech, Morocco,Deauville, France,Rome, Italy,Limoges, France,Toulouse, France,Cannes, France,Aix-en-Provence, France,Bordeaux, France,London, UK,Montpellier, France,",[],"Nickel Institute, Paris"," Shopping
",,,
Wendydou,Houilles,France,,,"Paris, France,",[],"Private Spa, Paris"," Spas
",,5 of 5 stars,
Nadrich78,Andresy,France,,,"Paris, France,",[],"Private Spa, Paris"," Spas
",,5 of 5 stars,
FoodAddiction,Houston,Texas, female , 35-49 ,"Edmonton, Alberta, Canada,Paris, France,London, UK,New York City, NY, USA,Calgary, Alberta, Canada,Istanbul, Turkey,San Francisco, CA, USA,Galveston, TX, USA,Orlando, FL, USA,Rome, Italy,Singapore, Singapore,Amsterdam, The Netherlands,",[],"Food Tour Paris, Paris",,"Welcome to Food Tour FOOD TOUR PARIS will allow you to stroll about into Paris as you were a parisian.Travel the world grab it and taste it within Pariss streets. Youll be guided by local folks with an unbelievable passion for food and for their city, the most visited in the world. We do the exact same thing weve been doing with family and friends for years, well take you to places we love to share that you might not find on your own.The FOOD TOUR PARIS experience will create memories to last a lifetime. FOOD TOUR PARIS offers various courses allowing to discover and eat the greatest things available in Paris.We also can customize any tour to sweet your prefered flavours.We accommodate groups or individuals on half day tour.From a snack to a banquet we can help you taste it all in the CITY OF LIGHTS.Put on your walking shoes, Be prepared to have a amazing experience  ITS TIME TO EAT PARIS !!",,"
My husband and I bought tickets for this food tour and when we showed up for the food tour, there was no one there to meet us. We waited for over 30 min and called their office but no one returned our phone call. We are currently trying to get our money back through Paypal. Hope this save another traveller...


More 


"
peB121,Paris,France,,,"Paris, France,",[],"Private Spa, Paris"," Spas
",,5 of 5 stars,
hayapluche,Paris,France,,,"Paris, France,",[],"Private Spa, Paris"," Spas
",,5 of 5 stars,
Mikarien,Paris,France,,,"Paris, France,",[],"Private Spa, Paris"," Spas
",,5 of 5 stars,
Ameliemik,Ch,Ch,,,"Paris, France,",[],"Private Spa, Paris"," Spas
",,5 of 5 stars,
vince250,IDF,IDF,,,"Paris, France,",[],"Nickel Institute, Paris"," Shopping
",,,
mathild0u,Paris,France,,,"Paris, France,Les Eyzies-de-Tayac-Sireuil, France,Nice, France,Cassel, France,Dranouter, Belgium,Lille, France,Valenciennes, France,",[],"Marin d'Eau Douce, Paris",,"Marin D'Eau Douce provides in renting electrics boats in Paris around the ""bassin de la Villette"" and through the Ourcq chanel.",5 of 5 stars,
Eveyse30,Paris,France, Female ,,"Marseille, France,Nimes, France,Levallois-Perret, France,Paris, France,Courbevoie, France,Trouville-sur-Mer, France,Acheres, France,Lille, France,",[],"Spa thai jasmin, Paris",,,,
ericpo63,Paris,France,,,"Paris, France,",[],"Nickel Institute, Paris"," Shopping
",,,
hitesh742,New Delhi,India,,,"Paris, France,",[],"My bus France, Paris",,,,"
I bought one SIM and 3 recharge vouchers from India to be used in France. One recharge voucher just didn't work, no customer service help, and the internet didn't work. When i got back and returned the sim card to the same guy who i contacted while the voucher didnt work, asked for the evidence to refund the money. Horrible...


More 


"
albaneetclement,Paris,France,,,"Sydney, Australia,Paris, France,Singapore, Singapore,Porto-Vecchio, France,Siem Reap, Cambodia,Strasbourg, France,Hossegor, France,Seignosse, France,Alice Springs, Australia,Esperance, Australia,Bangkok, Thailand,Calvi, France,",[],"Spa thai jasmin, Paris",,,,
Stefbac2808,Paris,France,,,"Paris, France,Abu Dhabi, United Arab Emirates,Amsterdam, The Netherlands,Antalya, Turkey,Arusha, Tanzania,Bangkok, Thailand,Birmingham, UK,Bodrum City, Turkey,Bruges, Belgium,Brussels, Belgium,Chiang Mai, Thailand,Dakar, Senegal,",[],"Spa thai jasmin, Paris",,,,
Laurence75017,Paris,France, female , 25-34 ,"Las Vegas, NV, USA,Lille, France,Paris, France,Cayenne, French Guiana,Magny-le-Hongre, France,Saint-Amand-les-Eaux, France,Tours, France,",[],"Spa thai jasmin, Paris",,,,
sobhi15,Paris,France,,,"Paris, France,",[],"Villa Saint Honore, Paris"," Spas
",,,
Rizou18,Argenteuil,France,,,"Kournas, Greece,Paris, France,",[],"Villa Saint Honore, Paris"," Spas
",,,
