name,memberCity,memberCounry,MemberGender,memberAge,CitiesVisited,memberDescription,Activitiy,Type,ownerdesc,rating,review
Myra888,Glen Ridge,United States,,,"Palm - Eagle Beach, Aruba,London, UK,Oranjestad, Aruba,Cape May, NJ, USA,Aruba, Caribbean,",[],"Ray Ruddick's Day and Away Tours, London"," Activities for young children, Activities for older children, Bathroom facilities ","Ray Ruddick has been welcoming visitors from all over the world for 25 years. Private groups of families or friends (up to 8 passengers) can experience the best that London and the UK has to offer whilst being driven and guided by their own personal driver-guide. To guarantee Ray's availability you can check out his diary online and can now book the trip of a lifetime up to December 2014! See Ray's website for a wide choice of day tours, away tours and lots of London activity ideas, a comprehensive list of Free activities in London, the best places for kids, a full up-to-date events guide by month and many other UK travel tips.",5 of 5 stars,"
We spent 3 wonderful days touring Windsor, Stratford-Upon-Avon, Cotswolds, Oxford and many more beautiful places with Ray. This was a first trip to London for our granchildren,11 and 18. Ray was very accommodating with taking us to places that they would enjoy as well as learn from. We are going back next year in May and have already booked with...


More 


"
CNN19,London,United Kingdom,,,"London, UK,Bucharest, Romania,Leeds, UK,Paris, France,",[],"Thai London Therapy, London", 1-2 hours ,,5 of 5 stars,"
I have been to both locations (former Cromwell Road and Marylebone) and Thai London Therapy is one of the best massages I have had in London. (And that is a lot!) The team are clearly very knowledgeable in their craft and I left feeling like I was walking on air!
The service and manners were so welcoming, I could have...


More 


"
swiftlisa,London,United Kingdom,,,"Betws-y-Coed, UK,Marrakech, Morocco,Airlie Beach, Australia,London, UK,Aireys Inlet, Australia,Alghero, Italy,Amsterdam, The Netherlands,Apollo Bay, Australia,Ballachulish, UK,Bangkok, Thailand,Bansko, Bulgaria,Barcelona, Spain,",[],"Thai London Therapy, London", 1-2 hours ,,,"
Bought an online offer. Had a room together which was nice, we had a great massage which I thought was one of the better ones that I've had. I would go again, pretty easy to get to from the station.
"
brendalipp,Lafayette,Indiana, female , 65+ ,"London, UK,Paris, France,Puerto Maldonado, Peru,Captiva Island, FL, USA,Cusco, Peru,El Granada, CA, USA,Acapulco, Mexico,Aguas Calientes, Peru,Akron, OH, USA,Albuquerque, NM, USA,Alexandria, VA, USA,Amsterdam, The Netherlands,",[],"The London Beatles Walk-Day Tour, London"," Walking tours
",,,"
Great tour for Beatles fans. The weather was beautiful, the tour was fun and interesting, and we got to walk around several London neighborhoods that we might otherwise have missed. One of the highlights was Abby Road!
"
TrespassersW_5,Edinburgh,United Kingdom,,,"Chester, UK,Doha, Qatar,Moreton-in-Marsh, UK,New York City, NY, USA,Abu Dhabi, United Arab Emirates,Dubai, United Arab Emirates,Saint-Antonin Noble Val, France,Cape Town Central, South Africa,Cromarty, UK,London, UK,Nairobi, Kenya,Oudtshoorn, South Africa,",[],"Leiths School of Food and Wine, London"," ""Classes/Workshops""
","Leiths school of Food and Wine is a leading London Cookery School. Established over 35 years ago Leiths teaches a whole range of courses. From the professional 1 year Diploma, for those looking for a career in food, to fun informal cookery classes. Short classes range from one day, Saturday, evening, one week, and two week classes covering a whole range of topics from Thai, Italian, Mediterranean, Middle Eastern and Japanese cookery to skills based classes covering bread, pastry, knife skills, fish cookery, carving and roasting, vegetarian cookery and gluten free cookery. The classes are held in professionally equipped kitchens and all the ingredients are weighed out and supplied. Everything you cook can be taken home and we do the washing up! Come to Leiths and learn a skill for life.",5 of 5 stars,"
A most enjoyable 4 hours watching 3 pasta dishes being made and then doing it or yourself.
Amazing to discover how easy and delicious it is to do it yourself.
"
PinayinSydney,Sydney,Sydney, female , 35-49 ,"Rome, Italy,Coles Bay, Australia,London, UK,Madrid, Spain,Barcelona, Spain,Marrakech, Morocco,Melbourne, Australia,Bangkok, Thailand,Fes, Morocco,Meknes, Morocco,Paris, France,Sydney, Australia,",[],"Windsor Castle, Stonehenge & Bath - Evan Evans Tours, London"," Tours
",,5 of 5 stars,"
We did the Windsor Castle, Stonehenge and Oxford Tour. The guide Phil was brilliant who regaled us with facts, trivias and stories about the places and general British information (cuisine, language). It was very informative and never boring. It would have been better to have more time in each location but it would have been impossible as this was already...


More 


"
Bikermum79,Eastbourne,United Kingdom, female , 25-34 ,"Eastbourne, UK,Broadway, UK,Newquay, UK,Haywards Heath, UK,Porlock, UK,Guildford, UK,London, UK,Padstow, UK,Scarborough, UK,Arlington, UK,Blackpool, UK,Chilworth, UK,",[],"Thamesjet, London",,Awesome aquabatics  only our jetboat can deliver the ultimate high speed experience. Thamesjet is the ONLY jet powered RIB on the river. Stops harder. Turns tighter. Nothings faster. Fact is jet powered RIBs are more manoeuvrable than traditional propeller driven boats. Thats why both the military and the police specify them for their boats. Try it and youll never settle for anything else.,5 of 5 stars,"
Great experience. 50 minutes of sightseeing commentary with an adrenalin rush thrown in!
Once out of speed restricted area this thing opens up, I can highly recommend. Charge is 35 for an adult, family ticket deals available (kids of all ages would love it) also periodic flash sales on webpage half price. Really can't say anything other than awesome for...


More 


"
Caroldunton,,,,,"London, UK,Milton Keynes, UK,Woburn, UK,",[],"London Rally School, London"," Educational Sites
",,5 of 5 stars,"
Second time we have been, first time was for the half day rally, this time bought my hubby the full day rally challenge. 3 different types of rally car were driven which was great as he is a real driving nut. I watched on the circuit for an hour or so and got pics, then left to go shopping at...


More 


"
wandabrighton,,,,,"London, UK,Malaga, Spain,Torremolinos, Spain,",[],"Thames Riverboats, London"," Tours
",,5 of 5 stars,"
We used it on two occasions and just loved it. Speedy and a nice alternative to public transportation, especially during rush hours. Very recommended.
"
toridancingdrew,Leeds,United Kingdom,,,"Leeds, UK,London, UK,",[],"Guided Walks in London-Day Tours, London"," Tours
",A qualified City of London and City of Westminster Walking Tour Guide leading private and public walks combining world famous landmarks with hidden treasures often missed by the crowds.,5 of 5 stars,"
DONT LET THE FACT THERE ARE NO FREE SAMPLES/SAMPLING PUT YOU OFF!
It's amazing how you think you know your way round London BUT miss all these fabulous cake shops. I know have loads of ideas where to take dates, friends and family for a real London experience rather than usual boring corporate coffee house
Guide was informative, passionate and...


More 


"
Lcfcrobh,,,,,"London, UK,",[],"Kayaking London, London"," Boat Tours
","Enjoy the great outdoors in the heart of central London! Kayaking London gives you the opportunity to explore the city from a completely different perspective, the River Thames itself. If you're looking for a special way to celebrate, to enjoy a challenge with your colleagues, or see the citys sights, we have something for you. We cater for beginners and kayakers of all abilities.",5 of 5 stars,"
A group of 8 of us booked the Putney Pizza Paddle and couldn't have had a better evening. Only one of us had kayaked before but the instructors were very friendly, getting us up to speed within a matter of minutes.
It's quite a workout but don't let that put you off as it's a lot of fun and a...


More 


"
CatFitz_London,London,United Kingdom,,,"Barcelona, Spain,London, UK,Shanghai, China,Amsterdam, The Netherlands,St Eval, UK,Edinburgh, UK,Newquay, UK,Tintagel, UK,Padstow, UK,Port Isaac, UK,Bodmin, UK,",[],"Kayaking London, London"," Boat Tours
","Enjoy the great outdoors in the heart of central London! Kayaking London gives you the opportunity to explore the city from a completely different perspective, the River Thames itself. If you're looking for a special way to celebrate, to enjoy a challenge with your colleagues, or see the citys sights, we have something for you. We cater for beginners and kayakers of all abilities.",5 of 5 stars,"
My friend and I went on the Big Ben kayak trip which takes you down to the London Eye and the Houses of Parliament using the tide, and then back up to Battersea as the tide turns and we had a great time. The instructors were very helpful and cheerful, and it was great fun. It was also easier than...


More 


"
