name,memberCity,memberCounry,MemberGender,memberAge,CitiesVisited,Countriesvisited,memberDescription,Activitiy,Type,ownerdesc,rating,review
Minamtl,Montreal,Canada, female , 35-49 ,"['st maarten-st martin', 'savaneta', 'palm - eagle beach', 'jamaica', 'montreal', ' quebec', 'oranjestad', 'tortuguero', 'nassau', 'siesta key', ' fl', 'la fortuna de san carlos', 'montezuma', 'noord']","[' caribbean', ' aruba', ' canada', ' costa rica', ' bahamas', ' usa']",[u'Snorkel lovers family. '],"Le Tsar Spa, Montreal",,,5 of 5 stars,"Tsar Spa was our first Russian spa style experience.
I reserved a package (Nordic spa and massage) for hubby and me.
We had been greeted so nicely, and been explained how things work there.
The place is a long apartment and at the end of it, you discover this unique Nordic spa behind a heavy wooden door. It is small yet cosy with wooden walls. We had it for the 2 of us. What a feeling ! Plants, the sound of water, 2 chairs and a small table in between with a Russian tea, classy cups and a beautiful bouquet of roses. We had a basket with towels, water, slippers, bathrobe etc. We felt as we were in a romantic getaway and loved it! The sauna was so hot (with pine scented water) that it helped us jump in the frozen small pool(with rose petals). You can then relax and sip the hot Russian tea. What a perfect atmosphere for a good relaxation! It is really a clean, quiet and comforting place; a different way to experience a Nordic spa, as you don't have huge pools and large areas but no crowd either. Massage time came and I quickly realised I was having one of the best treatment I ever had. It is not easy to find a massage therapist who performs the way you like, and Irina was a gem for me (deep tissue, percussions, hot oil, and she finishes with a hot humid towel to wipe off the massage oil off your skin). Did I mentioned that under the massage table there was another bouquet of roses? Have you ever seen that before? When I was done, I would loved to have my bed right there. I have to point out that the music Irina puts is not the kind we are used to hear and that adds to the experience (Aretha Franklin, jazz, blues). I hope you will get a chance to experience something like that or to think about it to make someone happy."
bkr122,Washington DC,District of Columbia,,,"['montreal', ' quebec', 'rehoboth beach', ' de', 'albany', ' ny', 'albuquerque', ' nm', 'alexandria', ' va', 'allentown', ' pa', 'anaheim', ' ca', 'anchorage', ' ak', 'ann arbor', ' mi', 'annapolis', ' md', 'arlington', ' va', 'atlanta', ' ga']","[' canada', ' usa']",[],"Visit Quebec Agency Day Tours, Montreal", To maximize your enjoyment during your vacation. ,,1 of 5 stars,"I called this organization to try to book 2 tours. The nice lady who answered the phone, who spoke in broken English, asked me to call back on Monday. I'm not sure whether she understood me, but I gave her the benefit of the doubt (it seems to me that if the organization wants the business, IT would be calling the customer and not inconveniencing the customer by asking the customer to call a second time). Well, I called today, as instructed, and no one answered the phone. I left a message asking someone to return my call. It's now almost 7p (EDT) and I haven't heard a word. What's that all about? Bad way to run a railroad."
Beenmostplaces,Montreal,Canada, female , 50-64 ,"['sutton', ' quebec', 'montreal', ' quebec', 'istanbul', 'bogota', 'sanliurfa', 'antakya', 'diyarbakir', 'quebec city', ' quebec', 'tulum', 'divrigi', 'enosburg falls', ' vt']","[' canada', 'quebec', ' turkey', ' colombia', ' mexico', ' usa']",[],"Amerispa, Montreal",,,4 of 5 stars,"I went with a girlfriend on a hot sunny September afternoon. Maybe because it was midweek we were virtually the only people there. The showers and changing room were very clean. We bypassed the sauna and steam room and headed out to the jacuzzis which were large and a nice temperature. Access to the spa also gives you access to the hotel jacuzzis and swimming pool which was lovely with plenty of sun beds and a great view of the mountains. A very nice place to spend a day. There was also a nice looking lounge so even if it was raining you could read and relax. They told us that in the winter the terrace is heated to keep it clear from snow - I would happily go back.
Tip - there is a cheaper evening rate but check out when they close
Tip - it gets very busy at weekends and I could imagine it being a bit claustrophobic so pick your day and time with care"
clies,Montreal,Canada, male , 35-49 ,"['montreal', ' quebec', 'venice', 'new york city', ' ny', 'niagara falls', ' ontario', 'key west', ' fl', 'miami beach', ' fl', 'ottawa', ' ontario', 'strasbourg', 'bielefeld', 'boston', ' ma', 'burano', 'carp', ' ontario']","[' canada', ' italy', ' usa', ' france', ' germany']",[],"Tours Kaleidoscope, Montreal",,,5 of 5 stars,"You cannot miss their tours. Just did Montreal Chinatown visit with them, I spent 2.5 hours with an amazing tour guide.
They organize tours in different areas of the city. You do it in small groups (around 20 people, by walking).
I'm living in Montreal since 12 years, thought that town has nothing to reveal regarding history and architecture. I was wrong.
The people of tours kaleidoscope are just great, passionated,tons of knowledge of their city.
I did Chinatown with them, will do 2 others tours soon and let you know."
Avatah,Melbourne,Australia,,,"['istanbul', 'kas', 'asheville', ' nc', 'byron bay', 'philadelphia', ' pa', 'tirana', 'boston', ' ma', 'goreme', 'agra', 'banff', ' alberta', 'dublin', 'eceabat']","[' turkey', ' usa', ' australia', ' albania', ' india', ' canada', ' ireland']",[],"McAuslan Brewing, Montreal",,,5 of 5 stars,"
I spent an enjoyable evening at the McAuslan Brewing Annexe (located in the building next to McAuslan Brewing). The staff were perfectly bilingual having no problem assisting us in both English and French. We were able to taste samples of beer before ordering and they have many varieties of their own beer on tap. Snacks are also available. They have...


More 


"
Saxmanian,Montreal,Canada,,,"['montreal', ' quebec', 'dorval', ' quebec', 'dollard-des-ormeaux', ' quebec']",[' canada'],[],"Fromagerie Ruban Bleu, Montreal",,,5 of 5 stars,"
Not to be missed. The people are committed to their craft. The location is a bit in the middle of nowhere, but a treat to visit. Closed Tuesdays and Wednesdays (I think). Check em out if you love goat cheese. I posit you will be impressed.
"
Tooteroo,Portland OR,Portland OR, female , 35-49 ,"['portland', ' or', 'montreal', ' quebec', 'puerto vallarta', 'aswan', 'vancouver', ' wa', 'corbett', ' or', 'quebec city', ' quebec', 'bridal veil', ' or', 'newberg', ' or', 'oregon city', ' or', 'troutdale', ' or']","[' usa', ' canada', ' mexico', ' egypt']",[],"Tastes and Aromas of Old Montreal, Montreal",,,4 of 5 stars,"
Our guide (Ronald) made an excellent presentation of Old Montreal's greatest hits and had a lot to offer on both past and present food scenes. A very gentle walking pace and a few representative food samples- but more information than food. This is an excellent tour for first time visitors to Montreal.
"
NurseTim1,Burlington,United States,,,"['colchester', ' vt', 'hinesburg', ' vt', 'lubec', ' me', 'montreal', ' quebec', 'burlington', ' vt', 'richmond', ' vt', 'south burlington', ' vt']","[' usa', ' canada']",[],"Caleche Rides in Old Montreal, Montreal"," Tours
",,5 of 5 stars,"my wife and I went for a fantastic horse-drawn ride on a chilly saturday afternoon. rumbling over the cobblestones of old Montreal, our driver pointed out various historical sites and engaged in hilarious dialogue with shopkeepers, cabbies, and onlookers. we met another couple and split the cost of a 1/2 hour ride, working out to about $10 USD per person. highly recommend this activity. TIP: most rides begin and end in the square across from Notre Dame cathedral, which is also well worth the price of admission..."
Ray47,Montreal,Canada,,,"['montreal', ' quebec', 'brossard', ' quebec', 'summerside', ' prince edward island', 'alberton', ' prince edward island', 'ottawa', ' ontario', 'sutton', ' quebec', 'baddeck', ' nova scotia', 'cheticamp', ' nova scotia', 'miminegash', ' prince edward island', 'provincetown', ' ma', 'sydney', ' nova scotia', 'alburgh', ' vt']","[' canada', ' usa']",[],"Fromagerie Ruban Bleu, Montreal",,,5 of 5 stars,"We have been coming to this boutique cheese maker for almost ten years and it just gets better and better. ALL of the cheese they make is delicious, especially the cheese made from lamb milk!

And they sell all kinds of delicious products such as jams, pies, chutneys, etc. Not only that, but they are surrounded by an orchard which produces pears, apples, cherries and plumbs.

The goats are adorable and the premises have picnic tables at your disposal. If you are in the region, do not miss this magical place!"
